date,unit_ret,btc_ret,eth_ret,data_through_date,source_summary_sha256
2025-05-23,0.0014567017009287332,-0.03914677128257493,-0.051828604464332795,2026-07-09,0262e6f0fc13ef4d89aca62eaaee0ac61ee332f1c33406abef7e773264b583fc
2025-05-24,-0.00018788341091257118,0.004102505781820476,0.0013540693346847377,2026-07-09,0262e6f0fc13ef4d89aca62eaaee0ac61ee332f1c33406abef7e773264b583fc
2025-05-26,-9.65885906312715e-05,0.0037265017499235054,0.004916528789530306,2026-07-09,0262e6f0fc13ef4d89aca62eaaee0ac61ee332f1c33406abef7e773264b583fc
2025-05-27,-0.00048518653473712586,-0.0047384266010132015,0.03765332875557914,2026-07-09,0262e6f0fc13ef4d89aca62eaaee0ac61ee332f1c33406abef7e773264b583fc
2025-05-28,0.0003736194273174672,-0.010334913286302205,0.007783037490177058,2026-07-09,0262e6f0fc13ef4d89aca62eaaee0ac61ee332f1c33406abef7e773264b583fc
2025-05-29,0.00030234408541969987,-0.020316710120485637,-0.018482798759854147,2026-07-09,0262e6f0fc13ef4d89aca62eaaee0ac61ee332f1c33406abef7e773264b583fc
2025-05-30,2.3295535958349777e-05,-0.01490667929891043,-0.03826987330801768,2026-07-09,0262e6f0fc13ef4d89aca62eaaee0ac61ee332f1c33406abef7e773264b583fc
2025-05-31,0.002411169981527243,0.0056695448783667945,-0.0013121959124307025,2026-07-09,0262e6f0fc13ef4d89aca62eaaee0ac61ee332f1c33406abef7e773264b583fc
2025-06-01,0.0002864273982918541,0.010025237624813332,0.004535398667875112,2026-07-09,0262e6f0fc13ef4d89aca62eaaee0ac61ee332f1c33406abef7e773264b583fc
2025-06-02,-0.0020621486532650807,0.0020148767592298444,0.02706589185462427,2026-07-09,0262e6f0fc13ef4d89aca62eaaee0ac61ee332f1c33406abef7e773264b583fc
2025-06-03,-0.0006018886188817474,-0.004748306673520553,-0.005776865685954813,2026-07-09,0262e6f0fc13ef4d89aca62eaaee0ac61ee332f1c33406abef7e773264b583fc
2025-06-04,0.0018473215634836598,-0.006595793769172853,0.005713977059211617,2026-07-09,0262e6f0fc13ef4d89aca62eaaee0ac61ee332f1c33406abef7e773264b583fc
2025-06-05,0.0006172907144471365,-0.030343113829685575,-0.07426247746192505,2026-07-09,0262e6f0fc13ef4d89aca62eaaee0ac61ee332f1c33406abef7e773264b583fc
2025-06-06,0.0007145539560878145,0.027325361341754784,0.025701166953984833,2026-07-09,0262e6f0fc13ef4d89aca62eaaee0ac61ee332f1c33406abef7e773264b583fc
2025-06-08,0.0007492232854177302,0.001619906748726807,-0.006011873152250602,2026-07-09,0262e6f0fc13ef4d89aca62eaaee0ac61ee332f1c33406abef7e773264b583fc
2025-06-09,0.001272699720376852,0.043049735593938765,0.06823700147916623,2026-07-09,0262e6f0fc13ef4d89aca62eaaee0ac61ee332f1c33406abef7e773264b583fc
2025-06-10,1.3159147774604579e-05,6.895306564436154e-05,0.050803935326873884,2026-07-09,0262e6f0fc13ef4d89aca62eaaee0ac61ee332f1c33406abef7e773264b583fc
2025-06-11,0.001249027262810853,-0.014664217187181028,-0.016018810558917962,2026-07-09,0262e6f0fc13ef4d89aca62eaaee0ac61ee332f1c33406abef7e773264b583fc
2025-06-12,0.000504575298226053,-0.0277153992547724,-0.04670906820101506,2026-07-09,0262e6f0fc13ef4d89aca62eaaee0ac61ee332f1c33406abef7e773264b583fc
2025-06-15,0.0003383032488752107,0.001813838132743495,0.006745055866142602,2026-07-09,0262e6f0fc13ef4d89aca62eaaee0ac61ee332f1c33406abef7e773264b583fc
2025-06-16,-0.00029324073108576723,0.011383467964277694,-0.0012017342674919274,2026-07-09,0262e6f0fc13ef4d89aca62eaaee0ac61ee332f1c33406abef7e773264b583fc
2025-06-29,-0.00024706827015735805,0.010012961460635461,0.026482776748713466,2026-07-09,0262e6f0fc13ef4d89aca62eaaee0ac61ee332f1c33406abef7e773264b583fc
2025-06-30,0.0017930956483688807,-0.01138902532248598,-0.006109784056944623,2026-07-09,0262e6f0fc13ef4d89aca62eaaee0ac61ee332f1c33406abef7e773264b583fc
2025-07-01,0.001967529726541096,-0.01350750645304677,-0.03241948470209344,2026-07-09,0262e6f0fc13ef4d89aca62eaaee0ac61ee332f1c33406abef7e773264b583fc
2025-07-02,-0.000798929360704781,0.02999201020875697,0.0691708238505162,2026-07-09,0262e6f0fc13ef4d89aca62eaaee0ac61ee332f1c33406abef7e773264b583fc
2025-07-03,0.000643565738330067,0.006773710283723755,0.007973631368398237,2026-07-09,0262e6f0fc13ef4d89aca62eaaee0ac61ee332f1c33406abef7e773264b583fc
2025-07-04,0.001454555336632337,-0.014538981194084366,-0.032151833249041695,2026-07-09,0262e6f0fc13ef4d89aca62eaaee0ac61ee332f1c33406abef7e773264b583fc
2025-07-05,0.0023501914106046438,0.0018249628985969046,0.0033347560562122514,2026-07-09,0262e6f0fc13ef4d89aca62eaaee0ac61ee332f1c33406abef7e773264b583fc
2025-07-06,0.0037848664842681495,0.0093957708397292,0.021377256698034808,2026-07-09,0262e6f0fc13ef4d89aca62eaaee0ac61ee332f1c33406abef7e773264b583fc
2025-07-07,0.0006281872440830568,-0.00879897032351451,-0.010856110795388174,2026-07-09,0262e6f0fc13ef4d89aca62eaaee0ac61ee332f1c33406abef7e773264b583fc
2025-07-08,-0.0018417913747123989,0.006302218114602631,0.028829240074453866,2026-07-09,0262e6f0fc13ef4d89aca62eaaee0ac61ee332f1c33406abef7e773264b583fc
2025-07-09,-0.003972364171034805,0.021379127292965983,0.05874320597606375,2026-07-09,0262e6f0fc13ef4d89aca62eaaee0ac61ee332f1c33406abef7e773264b583fc
2025-07-10,0.0014595265019794112,0.04298545900222739,0.06592823002807058,2026-07-09,0262e6f0fc13ef4d89aca62eaaee0ac61ee332f1c33406abef7e773264b583fc
2025-07-11,0.0001778492464294379,0.013093358829762147,0.0022097949500083924,2026-07-09,0262e6f0fc13ef4d89aca62eaaee0ac61ee332f1c33406abef7e773264b583fc
2025-07-12,0.0024039990298875998,-0.0011820391323884571,-0.005035474903788195,2026-07-09,0262e6f0fc13ef4d89aca62eaaee0ac61ee332f1c33406abef7e773264b583fc
2025-07-13,0.001613630369243368,0.014316277001173328,0.00967666282591173,2026-07-09,0262e6f0fc13ef4d89aca62eaaee0ac61ee332f1c33406abef7e773264b583fc
2025-07-14,0.0029535215856034643,0.006647615879687763,0.014064498754460475,2026-07-09,0262e6f0fc13ef4d89aca62eaaee0ac61ee332f1c33406abef7e773264b583fc
2025-07-15,-0.00012562502406543322,-0.017488918706025314,0.04208632377057331,2026-07-09,0262e6f0fc13ef4d89aca62eaaee0ac61ee332f1c33406abef7e773264b583fc
2025-07-16,0.0002949054528936794,0.007478829375510143,0.07373628614024152,2026-07-09,0262e6f0fc13ef4d89aca62eaaee0ac61ee332f1c33406abef7e773264b583fc
2025-07-17,0.0009668223649920484,0.004993833576534046,0.03165580321779604,2026-07-09,0262e6f0fc13ef4d89aca62eaaee0ac61ee332f1c33406abef7e773264b583fc
2025-07-18,6.467762617801053e-05,-0.010808707023310826,0.02009012662013676,2026-07-09,0262e6f0fc13ef4d89aca62eaaee0ac61ee332f1c33406abef7e773264b583fc
2025-07-20,0.0019373036469597653,-0.004681688462782052,0.04589561586638835,2026-07-09,0262e6f0fc13ef4d89aca62eaaee0ac61ee332f1c33406abef7e773264b583fc
2025-07-21,0.0013270967004873173,0.0008747518978535762,0.0014531402200470556,2026-07-09,0262e6f0fc13ef4d89aca62eaaee0ac61ee332f1c33406abef7e773264b583fc
2025-07-22,0.0017456086324379675,0.022578859046110233,-0.004209586376247798,2026-07-09,0262e6f0fc13ef4d89aca62eaaee0ac61ee332f1c33406abef7e773264b583fc
2025-07-23,0.003367898176658463,-0.010831064713154315,-0.03137443287963704,2026-07-09,0262e6f0fc13ef4d89aca62eaaee0ac61ee332f1c33406abef7e773264b583fc
2025-07-24,-0.0016101478645076468,-0.0034982996949725065,0.021364177393757622,2026-07-09,0262e6f0fc13ef4d89aca62eaaee0ac61ee332f1c33406abef7e773264b583fc
2025-07-25,0.0019526805585722137,-0.006014637279426638,0.005039142374655414,2026-07-09,0262e6f0fc13ef4d89aca62eaaee0ac61ee332f1c33406abef7e773264b583fc
2025-07-27,0.0011935875668910552,0.012986561356010284,0.03505832364612971,2026-07-09,0262e6f0fc13ef4d89aca62eaaee0ac61ee332f1c33406abef7e773264b583fc
2025-07-28,-0.001148422244300207,-0.011395806242825324,-0.019776724396112777,2026-07-09,0262e6f0fc13ef4d89aca62eaaee0ac61ee332f1c33406abef7e773264b583fc
2025-07-29,0.0012001884778430581,-0.0012331782543920644,-0.001143116018374024,2026-07-09,0262e6f0fc13ef4d89aca62eaaee0ac61ee332f1c33406abef7e773264b583fc
2025-07-30,0.00046183642869886604,-0.0012016285161625673,0.004501226168815764,2026-07-09,0262e6f0fc13ef4d89aca62eaaee0ac61ee332f1c33406abef7e773264b583fc
2025-07-31,0.00015094031516481445,-0.017842345493693457,-0.029760826593373646,2026-07-09,0262e6f0fc13ef4d89aca62eaaee0ac61ee332f1c33406abef7e773264b583fc
2025-08-01,0.00018719273358573627,-0.021016579342514552,-0.05662608225108223,2026-07-09,0262e6f0fc13ef4d89aca62eaaee0ac61ee332f1c33406abef7e773264b583fc
2025-08-02,2.8573276400766308e-05,-0.006453925821796047,-0.02696238000866147,2026-07-09,0262e6f0fc13ef4d89aca62eaaee0ac61ee332f1c33406abef7e773264b583fc
2025-08-03,-9.71354176114473e-05,0.014478572317318195,0.030182450555604756,2026-07-09,0262e6f0fc13ef4d89aca62eaaee0ac61ee332f1c33406abef7e773264b583fc
2025-08-04,-0.000442161391958801,0.007524501279489337,0.0641355039913023,2026-07-09,0262e6f0fc13ef4d89aca62eaaee0ac61ee332f1c33406abef7e773264b583fc
2025-08-05,0.002375094793272659,-0.00805523190094426,-0.029446717895495467,2026-07-09,0262e6f0fc13ef4d89aca62eaaee0ac61ee332f1c33406abef7e773264b583fc
2025-08-06,-0.0015149279449925546,0.007568399608694154,0.01989339952461955,2026-07-09,0262e6f0fc13ef4d89aca62eaaee0ac61ee332f1c33406abef7e773264b583fc
2025-08-07,-0.0003110873352713837,0.021374942362736293,0.061593622251497226,2026-07-09,0262e6f0fc13ef4d89aca62eaaee0ac61ee332f1c33406abef7e773264b583fc
2025-08-08,-0.0008897479354821789,-0.00659966490601771,0.025798874705435404,2026-07-09,0262e6f0fc13ef4d89aca62eaaee0ac61ee332f1c33406abef7e773264b583fc
2025-08-09,-0.0020599119319700543,-0.0018769544463413945,0.06256703432656363,2026-07-09,0262e6f0fc13ef4d89aca62eaaee0ac61ee332f1c33406abef7e773264b583fc
2025-08-10,0.004115654587786284,0.024617245473179228,-0.0024694951619490535,2026-07-09,0262e6f0fc13ef4d89aca62eaaee0ac61ee332f1c33406abef7e773264b583fc
2025-08-11,0.003980317211004827,-0.004968483748882813,-0.006746739585735573,2026-07-09,0262e6f0fc13ef4d89aca62eaaee0ac61ee332f1c33406abef7e773264b583fc
2025-08-12,-0.00047783272627669967,0.011891721548510592,0.08731777700383114,2026-07-09,0262e6f0fc13ef4d89aca62eaaee0ac61ee332f1c33406abef7e773264b583fc
2025-08-13,0.00011703513554062468,0.027125376278723135,0.03468254694574813,2026-07-09,0262e6f0fc13ef4d89aca62eaaee0ac61ee332f1c33406abef7e773264b583fc
2025-08-14,0.001470369927105676,-0.04132940947562991,-0.0426954981667933,2026-07-09,0262e6f0fc13ef4d89aca62eaaee0ac61ee332f1c33406abef7e773264b583fc
2025-08-15,0.0044497233391543115,-0.00819703323718124,-0.023925539567554055,2026-07-09,0262e6f0fc13ef4d89aca62eaaee0ac61ee332f1c33406abef7e773264b583fc
2025-08-16,-1.0425178299795365e-05,0.00039989495296754995,-0.0036060319900113047,2026-07-09,0262e6f0fc13ef4d89aca62eaaee0ac61ee332f1c33406abef7e773264b583fc
2025-09-18,-0.006584809513894554,0.005354801795873332,-0.0008150296701308068,2026-07-09,0262e6f0fc13ef4d89aca62eaaee0ac61ee332f1c33406abef7e773264b583fc
2025-09-19,-0.003406578069771751,-0.012395800843420401,-0.025565697211589855,2026-07-09,0262e6f0fc13ef4d89aca62eaaee0ac61ee332f1c33406abef7e773264b583fc
2025-09-20,2.9873844786668652e-05,0.0004845426566262301,0.0024866657862989694,2026-07-09,0262e6f0fc13ef4d89aca62eaaee0ac61ee332f1c33406abef7e773264b583fc
2025-09-21,-0.001725965228531411,-0.003939326587038328,-0.00799966063398927,2026-07-09,0262e6f0fc13ef4d89aca62eaaee0ac61ee332f1c33406abef7e773264b583fc
2025-09-22,0.0038913964794459574,-0.022337623096999826,-0.055524171132382505,2026-07-09,0262e6f0fc13ef4d89aca62eaaee0ac61ee332f1c33406abef7e773264b583fc
2025-09-25,0.00044134496949412396,-0.03818092719558874,-0.06703885039081692,2026-07-09,0262e6f0fc13ef4d89aca62eaaee0ac61ee332f1c33406abef7e773264b583fc
2025-09-26,-0.0006536282105522956,0.006066208702182108,0.040712284190544956,2026-07-09,0262e6f0fc13ef4d89aca62eaaee0ac61ee332f1c33406abef7e773264b583fc
2025-09-30,0.002230273265698391,-0.0020796244072281977,-0.016415196460109915,2026-07-09,0262e6f0fc13ef4d89aca62eaaee0ac61ee332f1c33406abef7e773264b583fc
2025-10-01,-0.0009029275842719682,0.03983377450799819,0.048894509594754165,2026-07-09,0262e6f0fc13ef4d89aca62eaaee0ac61ee332f1c33406abef7e773264b583fc
2025-10-02,-0.0011465620344752315,0.016267500257263645,0.03123331799355733,2026-07-09,0262e6f0fc13ef4d89aca62eaaee0ac61ee332f1c33406abef7e773264b583fc
2025-10-03,0.001475554524485749,0.014078217854652797,0.006573339818909618,2026-07-09,0262e6f0fc13ef4d89aca62eaaee0ac61ee332f1c33406abef7e773264b583fc
2025-10-05,-0.0007608628484193652,0.008896749164141848,0.005847418709064911,2026-07-09,0262e6f0fc13ef4d89aca62eaaee0ac61ee332f1c33406abef7e773264b583fc
2025-10-06,-0.002653575482580323,0.009382095604704599,0.03763101261754853,2026-07-09,0262e6f0fc13ef4d89aca62eaaee0ac61ee332f1c33406abef7e773264b583fc
