symbol,decision_ts_ms,date,era,block,decile,is_d9,btc_up,ret1,turnover_spike_168h,max_ret168,hold_h,n_settlements,long_gross,long_funding,short_path,long_net45,stratum
0GUSDT,1782576000000,2026-06-27,e2526,736,7,0,0,0.04576659038901609,4.609372072931792,0.04576659038901609,24.0,6,-0.04155844155844157,0.00346734,0.04155844155844157,-0.04259110155844157,2-2-0
0GUSDT,1782669600000,2026-06-28,e2526,736,7,0,0,0.0004516711833784104,0.2254955386552843,0.04576659038901609,24.0,6,-0.017703132092600993,0.0019555,0.017703132092600993,-0.020247632092600994,1-0-0
0GUSDT,1782781200000,2026-06-30,e2526,736,7,0,0,-0.015932521087160367,1.3182440566608427,0.04576659038901609,24.0,6,-0.03950499762018089,-0.0002279,0.03950499762018089,-0.04423289762018089,0-2-0
0GUSDT,1783040400000,2026-07-03,e2526,737,7,0,0,0.028855250709555413,1.7565041394307397,0.0465337132003798,24.0,6,-0.011910215300045768,0.00010032999999999998,0.011910215300045768,-0.01630988530004577,2-2-0
0GUSDT,1783213200000,2026-07-05,e2526,737,7,0,0,-0.0033349213911386677,1.3437402560107001,0.0465337132003798,24.0,6,-0.007204610951008661,0.00144088,0.007204610951008661,-0.01026373095100866,1-2-0
0GUSDT,1783299600000,2026-07-06,e2526,737,7,0,1,0.001941747572815622,0.59188191884276,0.0465337132003798,24.0,6,0.006773101112723889,0.00048399999999999995,-0.006773101112723889,0.0027571011127238898,1-1-0
0GUSDT,1783407600000,2026-07-07,e2526,737,7,0,1,0.0,0.3784657267323439,0.0465337132003798,24.0,6,-0.06005859375,0.00051343,0.06005859375,-0.06404516375,1-0-0
10000000AIDOGEUSDT,1730768400000,2024-11-05,e2324,715,7,0,1,0.015597305919886395,1.8382008070647946,0.04206999255398358,24.0,3,0.10621312044429021,-0.00030000000000000003,-0.10621312044429021,0.10141312044429021,2-2-0
10000000AIDOGEUSDT,1730854800000,2024-11-06,e2324,715,8,0,1,0.052980132450331174,1.5411727415077736,0.052980132450331174,24.0,3,0.12268591151553188,-0.00038667,-0.12268591151553188,0.11779924151553187,2-2-1
10000000AIDOGEUSDT,1731027600000,2024-11-08,e2324,715,7,0,1,0.01169423844837425,1.2440877694418953,0.052980132450331174,24.0,3,0.030813124108416634,-0.00047484000000000003,-0.030813124108416634,0.025838284108416633,2-1-1
10000000AIDOGEUSDT,1731286800000,2024-11-11,e2324,715,9,1,1,0.008380576780872673,2.905059171015898,0.125064069707842,24.0,3,0.019794721407624394,-0.0017978,-0.019794721407624394,0.013496921407624395,2-2-2
10000000AIDOGEUSDT,1733418000000,2024-12-05,e2324,716,7,0,1,0.06600573962953304,10.425729474686992,0.06600573962953304,24.0,3,0.020542733958914372,-0.00231755,-0.020542733958914372,0.01372518395891437,2-2-1
10000000AIDOGEUSDT,1733504400000,2024-12-06,e2324,716,7,0,1,-0.0427370948379352,4.242627013624717,0.06600573962953304,24.0,3,0.1558151093439364,-0.0042306900000000005,-0.1558151093439364,0.14708441934393637,0-2-1
10000000AIDOGEUSDT,1733590800000,2024-12-07,e2324,716,7,0,1,-0.06316210273835687,11.304367705382328,0.07591397849462367,24.0,3,-0.049881745861105053,-0.00271765,0.049881745861105053,-0.05709939586110505,0-2-1
10000000AIDOGEUSDT,1733677200000,2024-12-08,e2324,716,8,0,1,-0.04237658366098729,1.7521227845791185,0.07591397849462367,24.0,3,-0.024439918533604943,-0.00166629,0.024439918533604943,-0.030606208533604944,0-2-1
10000000AIDOGEUSDT,1737554400000,2025-01-22,e2526,718,7,0,1,-0.014194811551639708,0.638073604753706,0.07902892561983488,24.0,3,-0.014932802389248434,-0.00030000000000000003,0.014932802389248434,-0.019732802389248433,0-1-2
10000000AIDOGEUSDT,1737727200000,2025-01-24,e2526,718,7,0,1,0.001468428781204123,1.4223130455519752,0.07902892561983488,24.0,3,-0.042884990253411304,-0.00030000000000000003,0.042884990253411304,-0.0476849902534113,1-2-2
10000000AIDOGEUSDT,1739167200000,2025-02-10,e2526,718,7,0,1,0.0025510204081631294,0.6652416676130086,0.06789606035205353,24.0,3,0.04987320371935766,-0.00030000000000000003,-0.04987320371935766,0.04507320371935766,1-1-1
10000000AIDOGEUSDT,1740682800000,2025-02-27,e2526,719,8,0,0,0.08455632228593646,19.437610686821014,0.08455632228593646,24.0,3,0.025098249374776893,-0.00030000000000000003,-0.025098249374776893,0.02029824937477689,2-2-2
10000000AIDOGEUSDT,1740769200000,2025-02-28,e2526,719,9,1,0,0.026346551569103704,1.892281066575243,0.08455632228593646,24.0,3,-0.061252940663936495,-0.00030000000000000003,0.061252940663936495,-0.0660529406639365,2-2-2
10000000AIDOGEUSDT,1742173200000,2025-03-17,e2526,720,7,0,0,0.009304729904368036,0.2810904870835109,0.05810526315789466,24.0,3,0.07513713483862738,-0.00030000000000000003,-0.07513713483862738,0.07033713483862739,2-0-1
10000000AIDOGEUSDT,1742324400000,2025-03-18,e2526,720,7,0,0,0.01566072245084582,3.560356594345557,0.053358971277490674,24.0,3,-0.00466614820575495,-0.00018094,0.00466614820575495,-0.00934708820575495,2-2-1
10000000AIDOGEUSDT,1745542800000,2025-04-25,e2526,721,8,0,1,0.08351118760757315,0.4649293887500975,0.10595075239398088,24.0,3,-0.02779927760577905,5.3499999999999945e-6,0.02779927760577905,-0.032293927605779045,2-0-2
10000000AIDOGEUSDT,1745629200000,2025-04-26,e2526,721,8,0,1,0.03689784762555526,0.20728262774993148,0.10595075239398088,24.0,3,0.00570556624427776,-0.00009166000000000001,-0.00570556624427776,0.00111390624427776,2-0-2
1000000BABYDOGEUSDT,1766930400000,2025-12-28,e2526,730,8,0,0,0.055222887558217026,28.676529714300734,0.055222887558217026,24.0,6,-0.04227129337539437,0.00016580999999999999,0.04227129337539437,-0.046605483375394365,2-2-1
1000000BABYDOGEUSDT,1767016800000,2025-12-29,e2526,730,8,0,0,-0.0008268562923763323,0.775154438427084,0.055222887558217026,24.0,6,0.045289855072463636,-0.00030000000000000003,-0.045289855072463636,0.04048985507246364,1-1-1
1000000BABYDOGEUSDT,1777464000000,2026-04-29,e2526,734,7,0,1,-0.004351809436555221,5.076640481545036,0.03874671131308283,24.0,6,-0.02410207939508502,-0.00030000000000000003,0.02410207939508502,-0.02890207939508502,0-2-0
1000000CHEEMSUSDT,1754355600000,2025-08-05,e2526,725,9,1,1,-0.007519454402378223,0.4784139512422329,0.07723892159900836,24.0,6,-0.024006262503261544,-0.00030000000000000003,0.024006262503261544,-0.028806262503261546,0-0-2
1000000CHEEMSUSDT,1754532000000,2025-08-07,e2526,725,7,0,1,-0.005834497493631408,2.866361635579287,0.04199093474728466,24.0,6,0.037015519960162724,-0.00033755,-0.037015519960162724,0.03217796996016273,0-2-0
1000000CHEEMSUSDT,1754618400000,2025-08-08,e2526,725,7,0,1,-0.005756776205324887,0.2066934239235512,0.04199093474728466,24.0,6,0.007362945178071234,-0.00030000000000000003,-0.007362945178071234,0.0025629451780712345,0-0-0
1000000CHEEMSUSDT,1759842000000,2025-10-07,e2526,727,7,0,1,0.05579255541614381,20.616095724592988,0.05579255541614381,24.0,6,0.2247172859450728,-0.0003717,-0.2247172859450728,0.21984558594507278,2-2-1
1000000CHEEMSUSDT,1761534000000,2025-10-27,e2526,728,9,1,1,0.3647652308886302,174.51938954623643,0.3647652308886302,24.0,6,-0.06977800856809036,0.00479517,0.06977800856809036,-0.06948283856809036,2-2-2
1000000CHEEMSUSDT,1761620400000,2025-10-28,e2526,728,9,1,1,-0.0069008350010351105,3.8652590000703935,0.3647652308886302,24.0,6,-0.00020933640360054628,0.00048983,0.00020933640360054628,-0.004219506403600546,0-2-2
1000000MOGUSDT,1736949600000,2025-01-15,e2526,717,7,0,0,0.07852054794520558,3.42523290884974,0.07852054794520558,24.0,6,-0.10630929076946238,-0.00030000000000000003,0.10630929076946238,-0.11110929076946238,2-2-2
1000000MOGUSDT,1737036000000,2025-01-16,e2526,718,7,0,0,-0.035919919708414794,2.3924975197732703,0.07852054794520558,24.0,6,0.04773939904521196,-0.00030000000000000003,-0.04773939904521196,0.04293939904521196,0-2-2
1000000MOGUSDT,1737122400000,2025-01-17,e2526,718,8,0,0,-0.020876715254418254,2.410621486447048,0.07852054794520558,24.0,6,-0.09589922272849094,-0.00030000000000000003,0.09589922272849094,-0.10069922272849094,0-2-2
1000000MOGUSDT,1737208800000,2025-01-18,e2526,718,8,0,1,0.002419773002246828,0.7037421544992483,0.07852054794520558,24.0,6,0.06806593145974138,-0.00030000000000000003,-0.06806593145974138,0.06326593145974138,1-1-2
1000000MOGUSDT,1737295200000,2025-01-19,e2526,718,8,0,1,0.005226700251889094,1.289268471012525,0.07852054794520558,24.0,6,-0.11541023648273563,-0.00030000000000000003,0.11541023648273563,-0.12021023648273563,1-2-2
1000000MOGUSDT,1738026000000,2025-01-28,e2526,718,7,0,1,-0.001354365838113436,0.4645702276246051,0.06023387992421769,24.0,6,-0.12778044487117934,-0.00030000000000000003,0.12778044487117934,-0.13258044487117934,1-0-1
1000000MOGUSDT,1738324800000,2025-01-31,e2526,718,8,0,1,0.07856898322492278,1.8272192994907615,0.07856898322492278,24.0,6,-0.08615407606665171,-0.00030000000000000003,0.08615407606665171,-0.0909540760666517,2-2-2
1000000MOGUSDT,1738411200000,2025-02-01,e2526,718,8,0,1,0.007871406081696675,0.8485555206544916,0.07856898322492278,24.0,6,-0.18585445625511043,-0.00024937,0.18585445625511043,-0.19060382625511044,2-1-2
1000000MOGUSDT,1738497600000,2025-02-02,e2526,718,7,0,1,-0.02461717387090534,1.1691106446705,0.07856898322492278,24.0,6,-0.2010645776840414,-0.00030000000000000003,0.2010645776840414,-0.2058645776840414,0-1-2
1000000MOGUSDT,1738598400000,2025-02-03,e2526,718,8,0,1,0.11381367599816428,2.5491096716752932,0.11381367599816428,24.0,6,0.010757224214300809,-0.00030000000000000003,-0.010757224214300809,0.005957224214300809,2-2-2
1000000MOGUSDT,1739408400000,2025-02-13,e2526,719,7,0,1,-0.012577203818079696,0.4677358127150121,0.06282919488337102,24.0,6,-0.07009660750393176,-0.00010537,0.07009660750393176,-0.07470197750393176,0-0-1
1000000MOGUSDT,1739494800000,2025-02-14,e2526,719,7,0,0,0.003048037064130593,0.347829510992963,0.06282919488337102,24.0,6,0.023677216719014238,-0.00030000000000000003,-0.023677216719014238,0.018877216719014236,1-0-1
1000000MOGUSDT,1739581200000,2025-02-15,e2526,719,7,0,0,-0.028968713789107814,1.2214806916145995,0.06282919488337102,24.0,6,-0.06230823696011334,-0.00030000000000000003,0.06230823696011334,-0.06710823696011334,0-1-1
1000000MOGUSDT,1739667600000,2025-02-16,e2526,719,7,0,0,0.0027672955974842317,0.4243994405503665,0.06282919488337102,24.0,6,0.034860307072741126,-0.00030000000000000003,-0.034860307072741126,0.030060307072741124,1-0-1
1000000MOGUSDT,1740758400000,2025-02-28,e2526,719,7,0,0,0.05583676051882325,1.4711066227461183,0.05583676051882325,24.0,6,-0.051959619952494096,-0.00030000000000000003,0.051959619952494096,-0.056759619952494095,2-2-1
1000000MOGUSDT,1740844800000,2025-03-01,e2526,719,7,0,0,-0.002044346595376556,0.3501236285783264,0.05583676051882325,24.0,6,0.14202943939868473,-0.00030000000000000003,-0.14202943939868473,0.13722943939868473,1-0-1
1000000MOGUSDT,1740934800000,2025-03-02,e2526,719,8,0,0,0.1125858123569794,9.329924213123054,0.1125858123569794,24.0,6,-0.13628988642509465,-0.00030000000000000003,0.13628988642509465,-0.14108988642509465,2-2-2
1000000MOGUSDT,1741021200000,2025-03-03,e2526,719,8,0,0,-0.0032812500000000133,0.7206426797638055,0.1125858123569794,24.0,6,-0.2279273638071384,-0.00030000000000000003,0.2279273638071384,-0.2327273638071384,1-1-2
1000000MOGUSDT,1741107600000,2025-03-04,e2526,719,8,0,0,-0.026988922457200415,3.707692632978644,0.1125858123569794,24.0,6,0.05819140308191395,-0.00021712,-0.05819140308191395,0.05347428308191395,0-2-2
