test,contrast,point_bp,se_bp,p_two_sided,per_test_alpha,significant,n
C-H1_bybit,"D9 minus D7/8, short-directional 24h path, stratified",28.218785675814075,20.547317856570114,0.16,0.0125,false,19660
C-H2_bybit,"BTC-uptrend pass minus fail among D9, short path, stratified",62.27562786113076,46.72909922234464,0.19,0.0125,false,5597
