liq_min,cap,bets_total,gate_open_days,gate_blocked_days,bets_per_gate_open_day,share_open_days_ge8,rho,days_with_2plus_bets,per_bet_vol_bps,per_bet_mean_bps_context_only,pending_open_at_end,paused_cycles,funnel_d9,funnel_liquidity,funnel_event,funnel_age,funnel_available,funnel_admitted
500000.0,5,4471,683,510,6.546120058565154,0.36749633967789164,0.21899174997451096,573,1017.8855456276102,87.62978832665713,2,1094,202151,69544,13948,7989,4552,4473
500000.0,10,4559,683,510,6.674963396778916,0.37042459736456806,0.2205348021490241,570,1003.2823492997917,87.90718371385597,2,1289,202151,69544,13831,7928,4566,4561
250000.0,5,4922,683,510,7.206442166910688,0.3967789165446559,0.21678972456093537,583,996.5120130874684,84.3316443019544,0,1191,202151,96190,15500,8850,5007,4922
250000.0,10,4985,683,510,7.2986822840409955,0.4011713030746706,0.212045358475076,577,999.5550165228727,76.42167576621736,0,1451,202151,96190,15239,8720,4991,4985
100000.0,5,5164,683,510,7.560761346998536,0.4289897510980966,0.19444087535977583,588,993.4904434992453,67.75056791751538,0,1362,202151,132955,16242,9291,5255,5164
100000.0,10,5257,683,510,7.69692532942899,0.43191800878477304,0.19331850219555494,583,991.1085246472836,61.67493602802893,0,1548,202151,132955,16125,9232,5261,5257
