symbol,d0,era,pump01,crowd7d,d0_bars,funding_events_d0_d7
APEXUSDT,2025-09-28,e2526,0.06016898008449001,7,16,45
API3USDT,2022-02-28,e2122,0.23125000000000018,6,17,23
APRUSDT,2025-10-23,e2526,0.8309197651663405,7,12,45
APTUSDT,2022-10-19,e2122,0.004095563139931757,0,22,24
ARBUSDT,2023-03-23,e2324,0.001572945340149401,3,10,23
ARCUSDT,2025-01-03,e2526,0.3250397203686053,3,15,46
ARIAUSDT,2025-09-03,e2526,0.12739751786385867,5,11,45
ARKMUSDT,2023-07-28,e2324,-0.09581411539465678,2,22,24
ARKUSDT,2023-08-01,e2324,0.0031477682676663843,4,13,23
ARMUSDT,2026-05-13,e2526,0.06121874560210161,10,15,23
ARPAUSDT,2022-04-20,e2122,-0.07856544794864628,2,12,22
ARUSDT,2021-12-20,e2122,0.03252805782765833,2,15,22
ARXUSDT,2026-06-23,e2526,-0.3703107019562716,6,20,47
ASMLUSDT,2026-06-26,e2526,-0.00719977863862753,15,16,23
ASPUSDT,2025-07-24,e2526,-0.25307557117750434,2,12,45
ASRUSDT,2025-08-14,e2526,-0.14327942966440632,6,15,46
ASTERUSDT,2025-09-19,e2526,1.3647142857142858,5,15,46
ASTRUSDT,2022-04-04,e2122,0.062271953296034965,5,18,23
ASTSUSDT,2026-06-04,e2526,-0.12430462305774037,7,15,23
ATAUSDT,2023-08-08,e2324,-0.0053859964093357915,3,13,23
ATHUSDT,2024-06-13,e2324,-0.22996193023973655,6,15,23
ATOMUSDT,2021-10-11,e2122,0.011164755582377728,4,21,23
ATUSDT,2025-10-29,e2526,0.012598425196850283,8,10,45
AUCTIONUSDT,2023-07-28,e2324,0.06435137895812049,2,14,24
AUDIOUSDT,2021-11-26,e2122,0.10684436412920739,13,15,23
AUSDT,2025-05-28,e2526,-0.10586403736377792,6,16,46
AVAAIUSDT,2025-01-08,e2526,0.2838751909229762,5,14,23
AVAILUSDT,2024-07-23,e2324,0.4683585808905504,6,9,23
AVAUSDT,2024-12-16,e2324,-0.25431242593161574,6,14,23
AVAXUSDT,2021-09-15,e2122,0.250600850434461,1,16,22
AVGOUSDT,2026-05-12,e2526,-0.016028054980229745,10,15,23
AVLUSDT,2025-02-20,e2526,0.05256327060350441,6,13,46
AVNTUSDT,2025-09-09,e2526,0.2717744850018069,4,10,45
AWEUSDT,2025-05-22,e2526,-0.06683132355077737,3,15,46
AXLUSDT,2023-12-07,e2324,-0.028994447871684148,1,12,23
AXSUSDT,2021-08-31,e2122,-0.006249160059131897,4,11,22
AXTIUSDT,2026-06-16,e2526,-0.1566254258561952,3,14,23
AZTECUSDT,2026-02-12,e2526,0.4688911322458955,2,17,47
B2USDT,2025-06-09,e2526,-0.13827691205445103,3,15,46
B3USDT,2025-02-12,e2526,-0.07543874241038018,6,14,91
BABAUSDT,2026-05-13,e2526,0.03687714933782127,10,16,23
BABYUSDT,2025-04-03,e2526,0.11580698835274528,3,13,47
BADGERUSDT,2023-08-16,e2324,-0.10979036092500538,6,13,23
BAKEUSDT,2022-04-01,e2122,-0.13482335976928628,7,17,23
BALUSDT,2022-04-08,e2122,-0.13746188130424586,5,13,22
BANANAS31USDT,2025-03-28,e2526,-0.06040028591851332,3,15,46
BANANAUSDT,2024-07-19,e2324,-0.06005580471272265,4,13,23
BANDUSDT,2022-02-23,e2122,-0.09670050761421312,2,13,22
BANKUSDT,2025-05-08,e2526,0.28991220211431634,4,15,46
BANUSDT,2024-11-18,e2324,0.032362459546925404,8,15,23
BARDUSDT,2025-09-16,e2526,0.20111111111111102,6,14,143
BASEDUSDT,2026-03-30,e2526,-0.34475218658892126,3,16,46
BATUSDT,2021-11-24,e2122,0.38375486381322954,10,17,23
BBUSDT,2024-05-14,e2324,0.08046272493573259,4,12,23
BBXUSDT,2026-06-23,e2526,0.1302376868414603,6,16,23
BDXNUSDT,2025-06-03,e2526,-0.24145299145299148,3,13,46
BEAMUSDT,2023-11-14,e2324,-0.12381283298586976,1,13,23
BEATUSDT,2025-11-21,e2526,-0.0558438862362467,3,13,46
BELUSDT,2022-06-17,e2122,-0.07942449409287633,0,17,23
BENDOGUSDT,2024-06-03,e2324,0.591807402084082,4,15,23
BERAUSDT,2025-02-06,e2526,-0.3354967116649359,0,11,89
BEUSDT,2026-05-28,e2526,-0.036574121503944235,5,16,23
BICOUSDT,2021-12-03,e2122,-0.14755077658303462,13,16,23
BIGTIMEUSDT,2023-10-12,e2324,-0.12172829248026584,5,11,23
BILLUSDT,2026-05-06,e2526,0.48337807144332023,4,18,47
BILLYUSDT,2024-11-27,e2324,-0.17602266690278023,7,15,23
BIOUSDT,2024-12-25,e2324,0.17929577464788737,7,16,23
BIRBUSDT,2026-01-28,e2526,0.4806542384804784,4,13,172
BLASTUSDT,2024-06-27,e2324,-0.12245317121261912,4,14,23
BLENDUSDT,2026-04-29,e2526,-0.32580321285140557,10,14,46
BLESSUSDT,2025-09-24,e2526,-0.3877467105263157,5,14,46
BLUAIUSDT,2025-10-24,e2526,0.31770615320217654,4,12,46
BLUEUSDT,2024-12-18,e2324,-0.06368989409292347,7,16,23
BLURUSDT,2023-02-15,e2324,0.13900600485498926,6,17,24
BLZUSDT,2022-06-06,e2122,0.1397196261682243,3,15,22
BMNRUSDT,2026-05-14,e2526,-0.06565514657675364,11,16,23
BMTUSDT,2025-03-13,e2526,0.3226852407829952,4,16,46
BNBUSDT,2021-06-29,e2122,0.008492922564529604,4,17,23
BNTUSDT,2023-08-07,e2324,0.048362528560548235,5,17,24
BNXUSDT,2023-02-28,e2324,-0.9429166666666666,1,17,24
BOBAUSDT,2022-04-07,e2122,-0.05847255369928395,4,12,22
BOBBOBUSDT,2025-11-24,e2526,-0.051004551004551035,1,16,46
BOMEUSDT,2024-03-15,e2324,3.269944909202204,5,14,23
BONDUSDT,2023-10-16,e2324,-0.226938068427891,6,15,23
BOTUSDT,2026-07-01,e2526,-0.11359766480175149,11,16,23
BPUSDT,2026-03-16,e2526,0.11121212121212132,0,14,46
BRETTUSDT,2024-04-26,e2324,-0.17466974208429442,2,12,23
BREVUSDT,2025-12-30,e2526,-0.09933333333333338,3,10,45
BROCCOLIUSDT,2025-02-14,e2526,-0.41857300239777073,8,12,45
BRUSDT,2025-03-20,e2526,0.23069194185812836,5,11,45
BSBUSDT,2026-03-26,e2526,0.6230294722412613,2,19,47
BSUUSDT,2025-08-27,e2526,-0.17959647627166808,4,14,46
BSVUSDT,2021-12-10,e2122,0.03674242424242413,7,16,23
BSWUSDT,2022-03-23,e2122,-0.04340704340704349,5,15,22
BTRUSDT,2025-08-27,e2526,-0.25326827471920454,4,13,46
BTTUSDT,2021-12-08,e2122,-0.13329764453961457,9,14,22
BTWUSDT,2026-06-05,e2526,0.41319717203456396,12,16,46
BUSDT,2025-05-23,e2526,0.08485671506668058,5,18,47
BUSDUSDT,2023-02-14,e2324,0.010720064724919043,5,17,24
BUZZUSDT,2025-01-22,e2526,-0.2225065425995928,8,13,46
BZUSDT,2026-05-13,e2526,-0.015041943881978437,10,16,23
C98USDT,2021-10-25,e2122,0.04197844007609386,7,17,23
CAKEUSDT,2023-11-03,e2324,0.2819807427785421,4,12,23
CAMPUSDT,2025-08-28,e2526,0.18590882178804025,4,16,46
CANTOUSDT,2024-05-23,e2324,0.19789695057833856,4,16,23
CAPUSDT,2026-06-29,e2526,0.13921971252566734,18,21,48
CARVUSDT,2024-10-16,e2324,-0.12157721796276011,3,15,23
