fresh_bucket,trades,net_pct_capital,mean_net_bps,tp_rate,era,arm
1_6h,7,-0.07659231650273855,-1.0941759500391222,0.42857142857142855,early,gate_on
6_24h,42,2.288092728626938,5.447839830064138,0.2619047619047619,early,gate_on
at_high_le1h,660,12.799831199037055,1.9393683634904628,0.17575757575757575,early,gate_on
gt_24h,324,5.1876284471294305,1.6011198910893305,0.14506172839506173,early,gate_on
1_6h,27,0.5334964797611773,1.9759128880043604,0.5925925925925926,full,gate_on
6_24h,83,2.739044477968813,3.300053587914232,0.26506024096385544,full,gate_on
at_high_le1h,1371,35.714266651104474,2.6049793326844983,0.2924872355944566,full,gate_on
gt_24h,819,15.029745296285363,1.8351337358101785,0.2503052503052503,full,gate_on
1_6h,20,0.6100887962639159,3.0504439813195794,0.65,late,gate_on
6_24h,41,0.45095174934187426,1.099882315467986,0.2682926829268293,late,gate_on
at_high_le1h,711,22.914435452067416,3.2228460551430964,0.4008438818565401,late,gate_on
gt_24h,495,9.842116849155934,1.988306434172916,0.3191919191919192,late,gate_on
1_6h,14,0.45965433745453327,3.28324526753238,0.42857142857142855,early,gate_off
6_24h,54,1.7635086144051653,3.2657566933428988,0.2222222222222222,early,gate_off
at_high_le1h,876,13.107370813881738,1.4962752070641252,0.17465753424657535,early,gate_off
gt_24h,553,8.53642156706498,1.5436567029050599,0.13200723327305605,early,gate_off
1_6h,57,1.0250278354522473,1.7982944481618373,0.47368421052631576,full,gate_off
6_24h,125,3.241746801785043,2.593397441428034,0.312,full,gate_off
at_high_le1h,2193,41.59332609062092,1.896640496608341,0.3337893296853625,full,gate_off
gt_24h,1644,5.695036607324644,0.34641341893702216,0.2451338199513382,full,gate_off
1_6h,43,0.5653734979977139,1.3148220883667765,0.4883720930232558,late,gate_off
6_24h,71,1.4782381873798771,2.082025616027996,0.38028169014084506,late,gate_off
at_high_le1h,1317,28.485955276739183,2.1629426937539242,0.4396355353075171,late,gate_off
gt_24h,1091,-2.8413849597403367,-0.2604385847608008,0.30247479376718606,late,gate_off
