fresh_bucket,fund_bucket,trades,net_pct_capital,mean_net_bps
1_6h,deep_neg,195,-0.15785749627501613,-0.08095256219231596
1_6h,neg,155,-0.4922180916302301,-0.31756005911627755
1_6h,pos,213,0.7558312096462826,0.3548503331672688
1_6h,zero,542,-2.326288381187395,-0.42920449837405805
6_24h,deep_neg,304,0.291952541661429,0.09603702028336479
6_24h,neg,280,0.48370882345346045,0.17275315123337873
6_24h,pos,545,-5.037396706861394,-0.9242929737360355
6_24h,zero,1207,-9.437373655757428,-0.7818867983229021
at_high_le1h,deep_neg,234,-1.2004063845934922,-0.5129941814502104
at_high_le1h,neg,356,-0.9068885812065115,-0.2547439834849752
at_high_le1h,pos,393,-0.7017517202186513,-0.17856277868159068
at_high_le1h,zero,1547,10.834970278880537,0.7003859262366217
gt_24h,deep_neg,572,-4.842231739294166,-0.846544010366113
gt_24h,neg,1512,-2.3806524099293225,-0.1574505562122568
gt_24h,pos,1796,6.246554339120646,0.347803693714958
gt_24h,zero,6894,-11.355655931216814,-0.16471795664660308
