ts_ms,equity,drawdown,basket_return,date,segment,equity_stitched
1587517200000,1.0,0.0,0.0,2020-04-22,binance 2020-2023,1.0
1588122000000,1.0159617560249536,0.0,0.015961756024953686,2020-04-29,binance 2020-2023,1.0159617560249536
1588726800000,1.0223571601742747,0.0,0.006294926075114945,2020-05-06,binance 2020-2023,1.0223571601742747
1589331600000,1.013883699794847,-0.008288160644351783,-0.008288160644351762,2020-05-13,binance 2020-2023,1.013883699794847
1589936400000,1.0276691530871798,0.0,0.013596681054367595,2020-05-20,binance 2020-2023,1.0276691530871798
1590541200000,1.0119379067003886,-0.015307695418835476,-0.01530769541883542,2020-05-27,binance 2020-2023,1.0119379067003886
1591146000000,1.063695654928528,0.0,0.051147158225255965,2020-06-03,binance 2020-2023,1.063695654928528
1591750800000,1.0662936633869273,0.0,0.002442435903880767,2020-06-10,binance 2020-2023,1.0662936633869273
1592355600000,1.060391726374033,-0.005535001487439795,-0.005535001487439938,2020-06-17,binance 2020-2023,1.060391726374033
1592960400000,1.0743813061633845,0.0,0.013192841325901431,2020-06-24,binance 2020-2023,1.0743813061633845
1593565200000,1.0675372229486397,-0.006370255304594785,-0.006370255304594623,2020-07-01,binance 2020-2023,1.0675372229486397
1594170000000,1.0675372229486397,-0.006370255304594785,0.0,2020-07-08,binance 2020-2023,1.0675372229486397
1594774800000,1.0675372229486397,-0.006370255304594785,0.0,2020-07-15,binance 2020-2023,1.0675372229486397
1595379600000,1.0675372229486397,-0.006370255304594785,0.0,2020-07-22,binance 2020-2023,1.0675372229486397
1595984400000,1.0762324740584783,0.0,0.008145150279464339,2020-07-29,binance 2020-2023,1.0762324740584783
1596589200000,1.1030122704202792,0.0,0.024882910530300353,2020-08-05,binance 2020-2023,1.1030122704202792
1597194000000,1.103766414510883,0.0,0.0006837132376745162,2020-08-12,binance 2020-2023,1.103766414510883
1597798800000,1.1301691631183473,0.0,0.02392059430360936,2020-08-19,binance 2020-2023,1.1301691631183473
1598403600000,1.1376389440725991,0.0,0.006609436178245555,2020-08-26,binance 2020-2023,1.1376389440725991
1599613200000,1.1449981970928855,0.0,0.0064688828196589904,2020-09-09,binance 2020-2023,1.1449981970928855
