test,contrast,point_bp,se_bp,p_two_sided,per_test_alpha,significant,n
C-H1_binance,"D9 minus D7/8, short-directional 24h path, stratified",31.27674497451942,17.158726969595914,0.075,0.0125,false,20129
C-H2_binance,"BTC-uptrend pass minus fail among D9, short path, stratified",26.143557764711872,37.39176107519457,0.471,0.0125,false,5466
