symbol,decision_ts_ms,date,era,block,decile,is_d9,btc_up,ret1,turnover_spike_168h,max_ret168,hold_h,n_settlements,long_gross,long_funding,short_path,long_net45,stratum
1000000BOBUSDT,1772323200000,2026-03-01,e2526,732,8,0,0,0.07817869415807577,8.369319750965817,0.07817869415807577,24.0,6,-0.02250803858520889,-0.0005822700000000001,0.02250803858520889,-0.02759030858520889,2-2-2
1000000BOBUSDT,1772409600000,2026-03-02,e2526,732,8,0,0,0.014517506404782221,1.4795571367481832,0.07817869415807577,24.0,6,0.04523026315789469,-0.0009373,-0.04523026315789469,0.03979296315789469,2-2-2
1000000BOBUSDT,1777816800000,2026-05-03,e2526,734,9,1,1,0.3710788064269317,106.69865409613996,0.3710788064269317,24.0,6,-0.15476190476190477,-0.00644283,0.15476190476190477,-0.16570473476190478,2-2-2
1000000BOBUSDT,1777903200000,2026-05-04,e2526,734,9,1,1,0.021446078431372584,1.0397061257147346,0.3710788064269317,24.0,6,-0.013497652582159736,-0.00804818,0.013497652582159736,-0.02604583258215974,2-1-2
1000000BOBUSDT,1779325200000,2026-05-21,e2526,735,8,0,1,0.05225988700564965,6.229893150888974,0.05225988700564965,24.0,6,0.05874222529371109,-0.00060587,-0.05874222529371109,0.053636355293711094,2-2-1
1000000BOBUSDT,1782064800000,2026-06-21,e2526,736,7,0,0,0.05519480519480524,82.39621735919788,0.05519480519480524,24.0,6,-0.04418762746431004,-0.00099358,0.04418762746431004,-0.04968120746431004,2-2-1
1000000BOBUSDT,1782151200000,2026-06-22,e2526,736,9,1,0,0.017806267806267817,0.7095697887032402,0.1315384615384616,24.0,6,-0.05761024182076813,-0.00208843,0.05761024182076813,-0.06419867182076813,2-1-2
1000000MOGUSDT,1751936400000,2025-07-08,e2526,724,9,1,1,-0.0011396601740571999,0.9758553828007493,0.06948293988339871,24.0,6,0.13019303399076776,-0.00030000000000000003,-0.13019303399076776,0.12539303399076776,1-1-2
1000000MOGUSDT,1752973200000,2025-07-20,e2526,724,8,0,1,0.0009404388714733258,0.3811063263151605,0.06846153846153857,24.0,6,0.0,-0.00040977,-0.0,-0.00490977,1-0-2
1000000MOGUSDT,1753059600000,2025-07-21,e2526,724,8,0,1,-0.0004970796570149538,0.8635531433457324,0.06846153846153857,24.0,6,-0.0011327879169289456,-0.00078915,0.0011327879169289456,-0.006421937916928945,1-1-2
1000000MOGUSDT,1753146000000,2025-07-22,e2526,724,8,0,1,-0.014611929913340482,0.499580975101641,0.06846153846153857,24.0,6,0.007056451612903247,-0.00061009,-0.007056451612903247,0.0019463616129032479,0-0-2
