rho_min,cap_k,registered,era,entries,vetoed,veto_rate,forgone_upside,avoided_loss,vetoed_net_sum,vetoed_on_native_tail_days,vetoed_net_on_native_tail_days,vetoed_on_registered_tail_days,vetoed_net_on_registered_tail_days
0.6,2,false,full,16745,2495,0.148999701403404,0.6887556424611205,-0.7930706679598872,-0.1043150254987667,404,-0.18187276196006874,326,-0.05087966262352704
0.6,2,false,early,3984,543,0.13629518072289157,0.18988038184717948,-0.18386014366103684,0.00602023818614264,32,-0.01826227065509638,60,-0.009381721468147603
0.6,2,false,late,12761,1952,0.15296606848993025,0.49887526061394105,-0.6092105242988505,-0.11033526368490942,372,-0.16361049130497235,266,-0.04149794115537944
0.6,3,false,full,16745,1837,0.10970438936996119,0.5014560291111444,-0.6087953558273204,-0.10733932671617596,316,-0.14072344847964338,251,-0.04793821316682314
0.6,3,false,early,3984,345,0.08659638554216867,0.12706423105840348,-0.1272324856873822,-0.00016825462897873678,25,-0.011590150354872866,41,-0.004201932305282192
0.6,3,false,late,12761,1492,0.11691873677611472,0.37439179805274087,-0.48156287013993815,-0.10717107208719728,291,-0.1291332981247705,210,-0.043736280861540945
0.7,2,false,full,16745,722,0.043117348462227534,0.2073923536585527,-0.228049265510555,-0.020656911852002274,113,-0.045400339160489356,103,-0.023051328376208755
0.7,2,false,early,3984,198,0.04969879518072289,0.08708717339380542,-0.07032672084380663,0.01676045254999879,12,-0.005269408585370617,22,-0.005506030498352288
0.7,2,false,late,12761,524,0.041062612647911605,0.12030518026474729,-0.15772254466674837,-0.03741736440200108,101,-0.04013093057511874,81,-0.017545297877856466
0.7,3,true,full,16745,445,0.0265750970438937,0.14408120176816633,-0.14403759631370608,0.000043605454460249327,68,-0.036431718245089006,61,-0.020528812695602285
0.7,3,true,early,3984,121,0.0303714859437751,0.06386946317824747,-0.04272875883241638,0.021140704345831096,9,-0.0019351459109996016,17,-0.006470568275215426
0.7,3,true,late,12761,324,0.025389859728861375,0.08021173858991885,-0.10130883748128972,-0.02109709889137086,59,-0.034496572334089405,44,-0.01405824442038686
