threshold,sign,persistence,era,n_trades,mean_gross_alt_bp,mean_alt_funding_bp,mean_gross_btc_bp,mean_btc_funding_bp,mean_net_unhedged_bp,mean_net_hedged_bp,mean_hold_h,n_weeks,capped_share,se_net_hedged_bp_wk,se_net_unhedged_bp_wk,median_net_hedged_bp,win_rate_hedged
0.0015,1,1,pooled,6578,-23.117906159270483,14.864515703861354,-5.4632644056300705,-0.9769562937062938,-53.25339045540911,-104.69361115474548,8.646701124961995,163,0.005928853754940711,23.847738871919827,24.980571749883275,-62.278400604390946,0.40833079963514746
0.0015,1,1,e2122,151,108.47801499939172,13.566687417218542,-47.89163498129926,-3.2104774834437095,77.04470241661029,-19.057410048132713,10.331125827814569,32,0.0,52.64953062474048,43.52917060833259,-5.857619886847544,0.4966887417218543
0.0015,1,1,e2324,1202,52.768918485094346,12.824178286189685,-18.508903752409662,-3.7490747088186356,20.59309677128402,-46.66488168994428,7.121464226289517,54,0.0,21.950812356258435,39.2926307503956,-26.04044889624027,0.4600665557404326
0.0015,1,1,e2526,5225,-44.37856593295173,15.371397550239234,-1.235983553619521,-0.2746887272727273,-74.00716838271249,-120.51784066360474,8.9488995215311,78,0.007464114832535885,29.240722410671026,29.24919817910502,-69.2053597495687,0.3938755980861244
0.0015,1,1,pre2025,1353,58.9862677634823,12.907045158906136,-21.7881294845326,-3.6889651884700667,26.89331292238842,-43.583781750614236,7.479674796747967,86,0.0,19.769894383716718,35.25979659700985,-24.788280009732333,0.4641537324464154
0.0015,1,1,post2025,5225,-44.37856593295173,15.371397550239234,-1.235983553619521,-0.2746887272727273,-74.00716838271249,-120.51784066360474,8.9488995215311,78,0.007464114832535885,29.61160674306669,29.131173557834344,-69.2053597495687,0.3938755980861244
0.0015,1,2,pooled,2218,-11.031006954033229,25.844016816952212,-9.849541970932925,-1.1059160054102797,-30.186990137081022,-86.14244811342422,12.491433724075744,126,0.012623985572587917,31.66488662501953,33.63669512017038,-53.96618926613556,0.4265103697024346
0.0015,1,2,e2122,21,7.9948678248366,34.44000952380952,73.73652367606358,-2.425885714285714,-2.565122651353881,23.74551531042401,16.761904761904763,13,0.0,131.30432609911682,80.37168728662553,-44.6215210832158,0.42857142857142855
0.0015,1,2,e2324,382,83.0952777082509,18.87219109947644,-54.721569045407286,-4.554569109947644,56.96746880772731,-47.3086693476276,8.743455497382199,37,0.0,60.59311942674409,76.95713310609754,-24.576435646996238,0.46335078534031415
0.0015,1,2,e2526,1815,-31.061742001608327,27.211907493112946,-1.3725133407057728,-0.36481140495867764,-48.84983450849537,-95.58715925415983,13.230853994490358,77,0.015426997245179064,37.95804659102644,35.5273908380869,-58.58570807515176,0.418732782369146
0.0015,1,2,pre2025,403,79.18185684583975,19.68341736972705,-48.027723022700364,-4.443645161290323,53.86527421556677,-43.60609396842391,9.161290322580646,50,0.0,56.71023359057933,72.00606068095941,-25.590328483641915,0.46153846153846156
0.0015,1,2,post2025,1815,-31.061742001608327,27.211907493112946,-1.3725133407057728,-0.36481140495867764,-48.84983450849537,-95.58715925415983,13.230853994490358,77,0.015426997245179064,37.363804294337115,34.95175661490427,-58.58570807515176,0.418732782369146
0.0015,-1,1,pooled,16671,-64.56974485548183,72.54933906784237,7.54035281242328,0.45626847219722877,-37.020405787639454,-74.02378450301894,11.608181872713095,266,0.0011996880810989142,13.213804373958721,18.60878832491493,-127.86100998005521,0.29530322116249774
0.0015,-1,1,e2122,1134,-153.33594286775622,52.910916578483246,91.40388453627001,0.41398315696649024,-145.42502628927295,-98.60715859603646,14.738095238095237,84,0.0,115.76601145654725,191.57486562632315,-170.10928765861837,0.318342151675485
0.0015,-1,1,e2324,1911,-30.36394093413184,74.90010973312403,-19.181184562480556,1.17211768707483,-0.46383120100782516,-63.472898076413536,13.41810570381999,105,0.0005232862375719519,23.94321220851196,22.946054120675498,-133.50326293330838,0.31815803244374674
0.0015,-1,1,e2526,13626,-61.9795806655347,73.8540248422134,4.308561600666273,0.3593921840598855,-33.12555582332129,-73.45760203859513,11.093864670482901,78,0.001394393072068105,11.674681117514773,13.358446204932244,-125.37955678947135,0.2901805372082783
0.0015,-1,1,pre2025,3045,-76.16041061975746,66.71103090311986,22.002220481192072,0.8897779310344829,-54.4493797166376,-76.55738130441105,13.90968801313629,189,0.0003284072249589491,46.28129962892188,77.77841930313902,-146.76595467522205,0.31822660098522165
0.0015,-1,1,post2025,13626,-61.9795806655347,73.8540248422134,4.308561600666273,0.3593921840598855,-33.12555582332129,-73.45760203859513,11.093864670482901,78,0.001394393072068105,11.60917330716017,13.417888073957325,-125.37955678947135,0.2901805372082783
0.0015,-1,2,pooled,7647,-87.3575419977497,129.4252659735844,0.849776899311663,0.6113677128285603,-2.9322760241652905,-46.471131412025066,16.085916045508043,247,0.0018307833137177977,18.37861935122086,19.810854308738918,-132.26933337316638,0.3108408526219432
0.0015,-1,2,e2122,338,123.71991187634332,129.01020177514795,-34.67191429453891,0.6747186390532546,207.73011365149128,128.73291799600565,23.0,70,0.0,76.20108143652261,87.91976330091886,-79.16821845399947,0.4319526627218935
0.0015,-1,2,e2324,759,-17.99040275117573,145.26083781291175,-28.201226973794203,1.6327007905138338,82.27043506173598,10.70190887845564,19.317523056653492,100,0.0013175230566534915,46.02235987005524,43.68566506678835,-123.37316044120752,0.3438735177865613
0.0015,-1,2,e2526,6550,-106.2878989592143,127.61169233587788,6.049172863160341,0.48974871755725197,-23.676206623336437,-62.13728504261883,15.354656488549619,78,0.001984732824427481,19.76765102604142,21.276864497623027,-134.77757408635034,0.300763358778626
