symbol,sign,threshold,start,era,age_cell,n_settlements,duration_h,peak_rate8h,sum_rate_raw,resolved
0GUSDT,-1,0.0015,2025-10-30,e2526,age_30_240,10,8.999999722222222,-0.00302944,-0.00295476,true
0GUSDT,-1,0.0015,2025-10-31,e2526,age_30_240,1,0.0,-0.00180256,-0.00022532,true
0GUSDT,-1,0.0015,2025-10-31,e2526,age_30_240,5,4.0000025,-0.00281312,-0.00120483,true
0GUSDT,-1,0.0015,2025-10-31,e2526,age_30_240,3,1.9999997222222223,-0.0025484,-0.0008218,true
0GUSDT,-1,0.0015,2025-10-31,e2526,age_30_240,1,0.0,-0.00152416,-0.00019052,true
0GUSDT,-1,0.0015,2025-11-01,e2526,age_30_240,2,1.0,-0.00199392,-0.00043675,true
0GUSDT,-1,0.0015,2025-11-01,e2526,age_30_240,1,0.0,-0.00168384,-0.00021048,true
0GUSDT,-1,0.0015,2025-11-01,e2526,age_30_240,1,0.0,-0.00189224,-0.00023653,true
0GUSDT,-1,0.0015,2025-11-01,e2526,age_30_240,5,3.999998611111111,-0.00254976,-0.00130022,true
0GUSDT,-1,0.0015,2025-11-02,e2526,age_30_240,5,3.9999997222222223,-0.00277696,-0.00139645,true
0GUSDT,-1,0.0015,2025-11-03,e2526,age_30_240,273,272.00000083333333,-0.106944,-0.53382599,true
0GUSDT,-1,0.0015,2025-11-14,e2526,age_30_240,2,1.0000019444444443,-0.00224192,-0.00049871,true
0GUSDT,-1,0.0015,2025-11-15,e2526,age_30_240,1,0.0,-0.00195808,-0.00024476,true
0GUSDT,-1,0.0015,2025-11-15,e2526,age_30_240,4,2.9999997222222223,-0.00450592,-0.00144056,true
0GUSDT,-1,0.0015,2025-11-16,e2526,age_30_240,51,50.00000027777778,-0.01419344,-0.02836731,true
0GUSDT,-1,0.0015,2025-11-21,e2526,age_30_240,1,0.0,-0.00201144,-0.00025143,true
0GUSDT,-1,0.0015,2025-11-21,e2526,age_30_240,1,0.0,-0.00214432,-0.00026804,true
0GUSDT,-1,0.0015,2025-11-22,e2526,age_30_240,22,21.0,-0.02032928,-0.02383828,true
0GUSDT,-1,0.0015,2025-11-23,e2526,age_30_240,74,73.0,-0.02074408,-0.04877696,true
0GUSDT,-1,0.0015,2025-11-26,e2526,age_30_240,1,0.0,-0.0016672,-0.0002084,true
0GUSDT,-1,0.0015,2025-11-26,e2526,age_30_240,2,1.0000005555555556,-0.0020128,-0.00044275,true
0GUSDT,-1,0.0015,2025-11-27,e2526,age_30_240,1,0.0,-0.00157128,-0.00019641,true
0GUSDT,-1,0.0015,2025-11-27,e2526,age_30_240,1,0.0,-0.00165592,-0.00020699,true
0GUSDT,-1,0.0015,2025-11-27,e2526,age_30_240,1,0.0,-0.00159568,-0.00019946,true
0GUSDT,-1,0.0015,2025-11-28,e2526,age_30_240,2,0.9999983333333333,-0.00158448,-0.00038944,true
0GUSDT,-1,0.0015,2025-11-30,e2526,age_30_240,1,0.0,-0.00160128,-0.00020016,true
0GUSDT,-1,0.0015,2025-12-01,e2526,age_30_240,4,2.9999966666666666,-0.00201592,-0.00086018,true
0GUSDT,-1,0.0015,2025-12-05,e2526,age_30_240,2,4.0,-0.0018947,-0.00178133,true
0GUSDT,-1,0.0015,2025-12-06,e2526,age_30_240,5,15.999999722222222,-0.00253582,-0.00550694,true
0GUSDT,-1,0.0015,2025-12-07,e2526,age_30_240,6,19.99999888888889,-0.0035512,-0.00863226,true
0GUSDT,-1,0.0015,2025-12-08,e2526,age_30_240,5,16.000000833333335,-0.00244698,-0.00533964,true
0GUSDT,-1,0.0015,2025-12-09,e2526,age_30_240,9,31.999998333333334,-0.00379244,-0.01019284,true
0GUSDT,-1,0.0015,2025-12-11,e2526,age_30_240,6,20.000001944444445,-0.00319,-0.00693099,true
0GUSDT,-1,0.0015,2025-12-12,e2526,age_30_240,2,3.9999991666666666,-0.00276716,-0.0022695,true
0GUSDT,-1,0.0015,2025-12-14,e2526,age_30_240,4,12.0,-0.0032285,-0.00456343,true
0GUSDT,-1,0.0015,2025-12-15,e2526,age_30_240,1,0.0,-0.00182182,-0.00091091,true
0GUSDT,-1,0.0015,2025-12-15,e2526,age_30_240,1,0.0,-0.002402,-0.001201,true
0GUSDT,-1,0.0015,2025-12-18,e2526,age_30_240,1,0.0,-0.00166712,-0.00083356,true
0GUSDT,-1,0.0015,2025-12-20,e2526,age_30_240,1,0.0,-0.00156794,-0.00078397,true
0GUSDT,-1,0.0015,2025-12-20,e2526,age_30_240,2,4.000001944444445,-0.00216076,-0.00188842,true
0GUSDT,-1,0.0015,2025-12-21,e2526,age_30_240,16,60.00000027777778,-0.00761454,-0.02801025,true
0GUSDT,-1,0.0015,2025-12-24,e2526,age_30_240,3,8.000000277777778,-0.0025193,-0.0029488,true
0GUSDT,-1,0.0015,2025-12-25,e2526,age_30_240,44,172.00000055555554,-0.03398206,-0.20147869000000002,true
0GUSDT,-1,0.0015,2026-01-02,e2526,age_30_240,1,0.0,-0.0019123,-0.00095615,true
0GUSDT,-1,0.0015,2026-01-03,e2526,age_30_240,1,0.0,-0.00156282,-0.00078141,true
0GUSDT,-1,0.0015,2026-01-04,e2526,age_30_240,1,0.0,-0.00164654,-0.00082327,true
0GUSDT,-1,0.0015,2026-01-04,e2526,age_30_240,2,4.000000277777778,-0.00163116,-0.00156565,true
0GUSDT,-1,0.0015,2026-01-06,e2526,age_30_240,2,3.9999997222222223,-0.0022394,-0.00190845,true
0GUSDT,-1,0.0015,2026-01-09,e2526,age_30_240,9,31.99999972222222,-0.00357372,-0.01017817,true
0GUSDT,-1,0.0015,2026-01-10,e2526,age_30_240,3,8.000000555555555,-0.00255246,-0.00290944,true
0GUSDT,-1,0.0015,2026-01-11,e2526,age_30_240,2,3.9999983333333335,-0.0019772,-0.00174742,true
0GUSDT,-1,0.0015,2026-01-12,e2526,age_30_240,1,0.0,-0.00204878,-0.00102439,true
0GUSDT,-1,0.0015,2026-01-19,e2526,age_30_240,1,0.0,-0.00177534,-0.00088767,true
0GUSDT,-1,0.0015,2026-01-19,e2526,age_30_240,1,0.0,-0.00255758,-0.00127879,true
0GUSDT,-1,0.0015,2026-01-22,e2526,age_30_240,17,64.00000166666666,-0.02294278,-0.0866528,true
0GUSDT,-1,0.0015,2026-01-30,e2526,age_30_240,13,47.99999861111111,-0.01763726,-0.04185596,true
0GUSDT,-1,0.0015,2026-02-01,e2526,age_30_240,3,8.0,-0.00268006,-0.00315606,true
0GUSDT,-1,0.0015,2026-02-02,e2526,age_30_240,1,0.0,-0.0023775,-0.00118875,true
0GUSDT,-1,0.0015,2026-02-04,e2526,age_30_240,1,0.0,-0.00160498,-0.00080249,true
0GUSDT,-1,0.0015,2026-02-04,e2526,age_30_240,6,19.999998333333334,-0.00550422,-0.00857837,true
0GUSDT,-1,0.0015,2026-02-07,e2526,age_30_240,14,51.99999361111111,-0.00829532,-0.01962503,true
0GUSDT,-1,0.0015,2026-02-12,e2526,age_30_240,37,42.0,-0.04,-0.060497,true
0GUSDT,-1,0.0015,2026-02-14,e2526,age_30_240,5,4.0,-0.00252088,-0.00132301,true
0GUSDT,-1,0.0015,2026-02-14,e2526,age_30_240,2,0.9999991666666667,-0.0024424,-0.00058652,true
0GUSDT,-1,0.0015,2026-02-14,e2526,age_30_240,1,0.0,-0.001802,-0.00022525,true
0GUSDT,-1,0.0015,2026-02-14,e2526,age_30_240,1,0.0,-0.00158544,-0.00019818,true
0GUSDT,-1,0.0015,2026-02-15,e2526,age_30_240,1,0.0,-0.00246144,-0.00030768,true
0GUSDT,-1,0.0015,2026-02-15,e2526,age_30_240,3,7.999999444444445,-0.01442772,-0.00665576,true
0GUSDT,-1,0.0015,2026-02-16,e2526,age_30_240,5,15.999999722222222,-0.00313012,-0.00602597,true
0GUSDT,-1,0.0015,2026-02-17,e2526,age_30_240,1,0.0,-0.0032173,-0.00160865,true
0GUSDT,-1,0.0015,2026-02-20,e2526,age_30_240,4,11.999999166666667,-0.00303,-0.0044012,true
0GUSDT,-1,0.0015,2026-02-21,e2526,age_30_240,4,12.0000025,-0.01274642,-0.00904179,true
0GUSDT,-1,0.0015,2026-02-21,e2526,age_30_240,2,4.000000277777778,-0.00377238,-0.00293034,true
0GUSDT,-1,0.0015,2026-03-08,e2526,age_30_240,5,16.0,-0.0031414,-0.00667511,true
0GUSDT,-1,0.0015,2026-03-18,e2526,age_30_240,3,7.999998611111111,-0.0019562,-0.00282424,true
0GUSDT,-1,0.0015,2026-03-21,e2526,age_30_240,2,4.000000833333333,-0.00227194,-0.00220076,true
0GUSDT,-1,0.0015,2026-03-22,e2526,age_30_240,1,0.0,-0.0020426,-0.0010213,true
0GUSDT,-1,0.0015,2026-03-23,e2526,age_30_240,3,8.000000833333333,-0.0029713,-0.0036562599999999997,true
0GUSDT,-1,0.0015,2026-03-23,e2526,age_30_240,1,0.0,-0.00222742,-0.00111371,true
0GUSDT,-1,0.0015,2026-03-24,e2526,age_30_240,7,24.0,-0.00377908,-0.00815454,true
0GUSDT,-1,0.0015,2026-03-25,e2526,age_30_240,1,0.0,-0.00154636,-0.00077318,true
0GUSDT,-1,0.0015,2026-03-25,e2526,age_30_240,3,7.999996666666667,-0.0025127,-0.0030252,true
0GUSDT,-1,0.0015,2026-03-26,e2526,age_30_240,1,0.0,-0.00175872,-0.00087936,true
0GUSDT,-1,0.0015,2026-03-27,e2526,age_30_240,1,0.0,-0.00199908,-0.00099954,true
0GUSDT,-1,0.0015,2026-03-28,e2526,age_30_240,2,4.000000833333333,-0.00415428,-0.0028738699999999997,true
0GUSDT,-1,0.0015,2026-03-31,e2526,age_30_240,1,0.0,-0.00253618,-0.00126809,true
