symbol,sign,threshold,persistence,entry,era,age_cell,week_block,hold_h,n_alt_settlements_hold,gross_alt,alt_funding,gross_btc,btc_funding,net_unhedged,net_hedged,capped
0GUSDT,-1,0.0015,1,2025-10-04,e2526,age_lt30,105646,3.0,4,-0.08588644403141665,0.00082209,0.003036436418576427,0.0001,-0.08956435403141666,-0.09092791761284022,false
0GUSDT,-1,0.0015,2,2025-10-04,e2526,age_lt30,105646,2.0,3,-0.027305496188076095,0.00047275,0.0021683142687694,0.0,-0.03133274618807609,-0.033664431919306695,false
0GUSDT,-1,0.0015,1,2025-10-04,e2526,age_lt30,105646,1.0,2,0.006507451031430911,0.00025927999999999997,0.0007486899966199223,0.0,0.002266731031430911,-0.0014845789719491664,false
0GUSDT,-1,0.0015,1,2025-10-04,e2526,age_lt30,105646,73.0,74,-0.028141101862861673,0.03194582,-0.014914969131004652,0.00078345,-0.0006952818628616726,-0.019326800993866324,false
0GUSDT,-1,0.0015,2,2025-10-04,e2526,age_lt30,105646,72.0,73,-0.011556033324375048,0.03162048,-0.01539846768384523,0.00078345,0.015564446675624951,-0.0035505710082202775,false
0GUSDT,-1,0.0015,1,2025-10-07,e2526,age_lt30,105647,1.0,1,-0.011092091749400845,0.00006584,0.007300870529164283,0.00006194,-0.015526251749400845,-0.012663441220236563,false
0GUSDT,-1,0.0015,1,2025-10-10,e2526,age_lt30,105647,1.0,2,0.011529170631725316,0.00010977,-0.0006113475317357508,0.0,0.007138940631725317,0.0020275930999895664,false
0GUSDT,-1,0.0015,1,2025-10-10,e2526,age_lt30,105647,3.0,2,-0.0349688262401735,0.00040471,0.022413369681082873,0.0001,-0.039064116240173495,-0.021050746559090623,false
0GUSDT,-1,0.0015,2,2025-10-11,e2526,age_lt30,105647,2.0,1,-0.0017292143758469436,0.00004153,0.014682176003349978,0.0,-0.0061876843758469436,0.003994491627503035,false
0GUSDT,-1,0.0015,1,2025-10-11,e2526,age_lt30,105647,1.0,1,0.022137079608343768,0.00006408,-0.008473908066707336,0.0001,0.01770115960834377,0.004827251541636433,false
0GUSDT,-1,0.0015,1,2025-10-12,e2526,age_lt30,105648,2.0,1,-0.01019278664329859,0.00012133,-0.006501492787136298,0.0,-0.014571456643298591,-0.025572949430434887,false
