rate_convention,entry_multiple,drain_fraction,era,trades,trades_removed,trades_drained,drain_no_exit_bar,net_return,gross_return,cost_return,funding_return,max_drawdown,worst_day_return,worst_day,per_trade_net_bps,removed_gross_forgone,removed_funding_saved,removed_cost_saved,removed_net_delta,drained_gross_delta,drained_funding_delta
prev,1.5,,full,16676,69,0,0,-0.20405217443566412,0.33994561929958167,-0.40743792463524564,-0.13655986909999998,-0.39205274203642737,-0.041473341765694706,2022-11-10,-0.12236278150375637,0.026021945930042756,0.0227917511,0.001435059448459118,-0.0017951353815836416,0.0,0.0
prev,1.5,,early,3960,24,0,0,0.08205190696467919,0.23924755576534423,-0.09716241390066507,-0.060033234899999996,-0.10211741641766903,-0.041473341765694706,2022-11-10,0.20720178526434138,0.0008662391380059877,0.0084271717,0.0005600273796566381,0.00812095994165065,0.0,0.0
prev,1.5,,late,12716,45,0,0,-0.2861040814003433,0.10069806353423734,-0.3102755107345806,-0.0765266342,-0.35362519053459496,-0.03945902091344896,2024-03-01,-0.22499534554918474,0.02515570679203677,0.014364579400000002,0.0008750320688024798,-0.009916095323234293,0.0,0.0
prev,1.5,0.02,full,16676,69,1933,31,-0.25413119629000647,0.18174430204523928,-0.40743792463524564,-0.0284375737,-0.4021745979759115,-0.03945902091344896,2024-03-01,-0.1523933774826136,0.026021945930042756,0.0227917511,0.001435059448459118,-0.0017951353815836416,-0.15820131725434233,0.10812229540000001
prev,1.5,0.02,early,3960,24,676,31,0.0062888722858872245,0.1243775795865523,-0.09716241390066507,-0.0209262934,-0.10000261475524364,-0.026494320940347683,2022-11-10,0.015880990620927335,0.0008662391380059877,0.0084271717,0.0005600273796566381,0.00812095994165065,-0.11387983783971031,0.0393250994
prev,1.5,0.02,late,12716,45,1257,31,-0.26042006857589356,0.057366722458687014,-0.3102755107345806,-0.0075112802999999905,-0.358130786588314,-0.03945902091344896,2024-03-01,-0.2047971599370034,0.02515570679203677,0.014364579400000002,0.0008750320688024798,-0.009916095323234293,-0.04432147941463188,0.068797196
prev,1.5,0.05,full,16676,69,1208,19,-0.30231225742401213,0.14591050921123358,-0.40743792463524564,-0.040784841999999995,-0.42103816428786467,-0.03945902091344896,2024-03-01,-0.18128583438715046,0.026021945930042756,0.0227917511,0.001435059448459118,-0.0017951353815836416,-0.19403511008834806,0.09577502710000001
prev,1.5,0.05,early,3960,24,432,19,0.003784208762737093,0.1263018053634022,-0.09716241390066507,-0.0253551827,-0.10219625654626185,-0.02949808254905129,2022-11-10,0.009556082734184578,0.0008662391380059877,0.0084271717,0.0005600273796566381,0.00812095994165065,-0.11195561206286049,0.0348962101
prev,1.5,0.05,late,12716,45,776,19,-0.3060964661867491,0.019608703847831324,-0.3102755107345806,-0.015429659299999997,-0.3645012700088547,-0.03945902091344896,2024-03-01,-0.2407175732830679,0.02515570679203677,0.014364579400000002,0.0008750320688024798,-0.009916095323234293,-0.08207949802548756,0.06087881700000001
prev,1.5,0.1,full,16676,69,753,18,-0.2887959501393419,0.17350368569590383,-0.40743792463524564,-0.05486171119999999,-0.4177895356823442,-0.03945902091344896,2024-03-01,-0.17318058895379101,0.026021945930042756,0.0227917511,0.001435059448459118,-0.0017951353815836416,-0.16644193360367787,0.08169815790000001
prev,1.5,0.1,early,3960,24,282,18,0.01398334673351067,0.1407768092341758,-0.09716241390066507,-0.029631048600000008,-0.10416393313001882,-0.0363578285821406,2022-11-10,0.03531148165027947,0.0008662391380059877,0.0084271717,0.0005600273796566381,0.00812095994165065,-0.09830191784802476,0.030554881600000004
prev,1.5,0.1,late,12716,45,471,18,-0.30277929687285254,0.03272687646172803,-0.3102755107345806,-0.02523066259999999,-0.3640153220435861,-0.03945902091344896,2024-03-01,-0.2381089154394877,0.02515570679203677,0.014364579400000002,0.0008750320688024798,-0.009916095323234293,-0.06814001575565312,0.051143276300000005
prev,1.5,0.2,full,16676,69,417,4,-0.24295359585120102,0.23676641498404466,-0.40743792463524564,-0.0722820862,-0.41584754890218045,-0.03945902091344896,2024-03-01,-0.14569057079107758,0.026021945930042756,0.0227917511,0.001435059448459118,-0.0017951353815836416,-0.10317920431553701,0.06427778289999997
prev,1.5,0.2,early,3960,24,165,4,0.03815945888668505,0.17052147558735012,-0.09716241390066507,-0.0351996028,-0.11452674913010608,-0.0363578285821406,2022-11-10,0.09636226991587135,0.0008662391380059877,0.0084271717,0.0005600273796566381,0.00812095994165065,-0.06970966776416676,0.0249135324
prev,1.5,0.2,late,12716,45,252,4,-0.281113054737886,0.06624493939669455,-0.3102755107345806,-0.0370824834,-0.354046182546242,-0.03945902091344896,2024-03-01,-0.22107034817386445,0.02515570679203677,0.014364579400000002,0.0008750320688024798,-0.009916095323234293,-0.03346953655137008,0.03936425049999999
next,,,full,16745,0,0,0,-0.20225703905408046,0.3659675652296243,-0.40887298408370476,-0.15935162020000002,-0.38737879112830864,-0.05212901624573644,2022-11-10,-0.12078652675669183,0.0,-0.0,-0.0,-0.0,0.0,0.0
next,,,early,3984,0,0,0,0.07393094702302855,0.24011379490335027,-0.09772244128032172,-0.0684604066,-0.10236025571516394,-0.05212901624573644,2022-11-10,0.18556964614213992,0.0,-0.0,-0.0,-0.0,0.0,0.0
next,,,late,12761,0,0,0,-0.27618798607710904,0.12585377032627415,-0.31115054280338306,-0.09089121359999999,-0.3461811598708002,-0.03945902091344896,2024-03-01,-0.2164313032498308,0.0,-0.0,-0.0,-0.0,0.0,0.0
next,1.0,,full,16710,35,0,0,-0.18472372474025986,0.3668624906808552,-0.408211863521115,-0.1433743519,-0.382317803467351,-0.03945902091344896,2024-03-01,-0.11054681313001787,-0.0008949254512308259,0.0159772683,0.0006611205625898109,0.017533314313820644,0.0,0.0
next,1.0,,early,3973,11,0,0,0.08762858083503386,0.2482558126285875,-0.09750431369355367,-0.06312291810000001,-0.10211741641766903,-0.03332528332519983,2022-11-10,0.2205602336648222,-0.008142017725237259,0.0053374885,0.00021812758676804787,0.013697633812005306,0.0,0.0
next,1.0,,late,12737,24,0,0,-0.27235230557529366,0.11860667805226774,-0.3107075498275613,-0.0802514338,-0.3413630115073375,-0.03945902091344896,2024-03-01,-0.21382767180285284,0.007247092274006432,0.0106397798,0.00044299297582176325,0.0038356805018153316,0.0,0.0
next,1.25,,full,16700,45,0,0,-0.18742163674880266,0.3605668489719996,-0.4080146590208021,-0.1399738267,-0.38065010197548477,-0.03945902091344896,2024-03-01,-0.11222852499928303,0.005400716257624792,0.019377793499999997,0.0008583250629026843,0.014835402305277894,0.0,0.0
next,1.25,,early,3970,14,0,0,0.08416920302445578,0.24465581262858752,-0.09744722860413174,-0.063039381,-0.10211741641766903,-0.03332528332519983,2022-11-10,0.21201310585505234,-0.00454201772523726,0.0054210256000000005,0.0002752126761899747,0.010238256001427231,0.0,0.0
next,1.25,,late,12730,31,0,0,-0.2715908397732584,0.1159110363434121,-0.31056743041667034,-0.07693444569999999,-0.33969531001547115,-0.03945902091344896,2024-03-01,-0.21334708544639305,0.009942733982862051,0.0139567679,0.0005831123867127098,0.004597146303850659,0.0,0.0
next,1.5,,full,16662,83,0,0,-0.17107394552975966,0.35927161140456665,-0.40717828623432617,-0.12316727069999998,-0.36869681979206037,-0.03945902091344896,2024-03-01,-0.10267311579027708,0.006695953825057722,0.03618434950000001,0.0016946978493786009,0.031183093524320877,0.0,0.0
next,1.5,,early,3952,32,0,0,0.08586409923898226,0.23903169008378852,-0.09701428424480624,-0.0561533066,-0.10095153779945099,-0.03332528332519983,2022-11-10,0.21726745758851787,0.0010821048195617184,0.012307100000000001,0.0007081570355154726,0.011933152215953756,0.0,0.0
next,1.5,,late,12710,51,0,0,-0.25693804476874194,0.12023992132077814,-0.3101640019895199,-0.06701396409999999,-0.33143514690844644,-0.03945902091344896,2024-03-01,-0.20215424450727137,0.005613849005496,0.0238772495,0.0009865408138631277,0.01924994130836712,0.0,0.0
