state,trades,mean_net_bps,tp_rate,mean_mae,p10_mae,share_mae_below_10pct,share_mae_below_15pct,mean_mfe,era
accelerating,1072,-0.13447708239396938,0.14925373134328357,-0.07631578994040729,-0.16872037914691962,0.23600746268656717,0.12033582089552239,0.06151566205635565,early
decelerating,612,-0.6748071147973467,0.1503267973856209,-0.10059126316403835,-0.22974860335195535,0.3088235294117647,0.18790849673202614,0.06291974846768048,early
pullback,2300,0.5501481143602276,0.1743478260869565,-0.08496649380625035,-0.18214044564483456,0.23521739130434782,0.1373913043478261,0.07035034127154559,early
accelerating,4789,-0.060370945747344806,0.15577364794320317,-0.07726575815984095,-0.17982456140350878,0.23908958028816038,0.12946335351847985,0.06265492785919297,full
decelerating,2325,-0.6242884720457972,0.16129032258064516,-0.09885989021502842,-0.23134920634920642,0.3139784946236559,0.19655913978494624,0.06490649160268747,full
pullback,9631,-0.029278707699127195,0.1586543453431627,-0.08312470525644292,-0.1891196429384705,0.25158342851209636,0.1444294465787561,0.0658291515863754,full
accelerating,3717,-0.038998393020634674,0.15765402206080173,-0.07753973339019685,-0.18416119962511712,0.23997847726661287,0.13209577616357276,0.06298349738855577,late
decelerating,1713,-0.6062397800645082,0.16520723876240515,-0.09824132614918249,-0.23135135135135143,0.315820198482195,0.19964973730297722,0.06561629125162168,late
pullback,7331,-0.21106587053319023,0.1537307325057973,-0.08254686953627417,-0.19030600848782675,0.2567180466512072,0.14663756649843132,0.06441069076576546,late
