rule,wait_hours,era,trades,trades_removed,trades_delayed,skipped,delayed,delay_no_deceleration,delay_no_data,net_return,gross_return,cost_return,funding_return,max_drawdown,worst_day_return,worst_day,per_trade_net_bps,mean_mae,p10_mae,share_mae_below_10pct,tp_rate,baseline_mean_mae,removed_net,removed_winners,removed_winners_net,removed_losers_net
skip,,full,11956,4789,0,4789,0,0,0,-0.1733453931356771,0.24005125155991328,-0.28959261839559036,-0.12380402630000001,-0.3194402932615241,-0.037234176164416315,2023-12-23,-0.14498611001645792,-0.0861846170186302,-0.19760687732342008,0.26371696219471397,0.15916694546671128,-0.08363386066898901,-0.028911645918403447,2654,1.5519421200357795,-1.5808537659541826
skip,,early,2912,1072,0,4789,0,0,0,0.08753255994351777,0.21014858847781592,-0.07098077233429814,-0.0516352562,-0.06988699524336517,-0.030790575309175464,2022-11-10,0.30059258222361873,-0.08825027088281841,-0.1960969468051621,0.2506868131868132,0.16929945054945056,-0.08503898484610538,-0.014415943232633514,576,0.3357568663274488,-0.35017280956008234
skip,,late,9044,3717,0,4789,0,0,0,-0.26087795307919487,0.029902663082097374,-0.21861184606129222,-0.0721687701,-0.3180565476492623,-0.037234176164416315,2023-12-23,-0.2884541719141916,-0.08551951484564081,-0.19805316360913516,0.2679124281291464,0.15590446704997787,-0.08319517916114233,-0.01449570268576994,2078,1.2161852537083306,-1.2306809563941004
delay,4,full,16744,1,4788,1,4788,1,0,-0.20854028207002992,0.35668742003493725,-0.40884706750496713,-0.15638063459999998,-0.3858743345240859,-0.05093083555951375,2022-11-10,-0.12454627452820707,-0.08332389417275628,-0.19111111111111123,0.2566292403248925,0.15671285236502627,-0.08363386066898901,-0.004056765669962376,0,0.0,-0.004056765669962376
delay,4,early,3983,0,1071,1,4788,1,0,0.07980749496891772,0.24463197123755892,-0.09769415496864116,-0.0671303213,-0.10622686343622556,-0.05093083555951375,2022-11-10,0.20037031124508592,-0.08472267933995453,-0.18532323108884263,0.2450414260607582,0.1631935726839066,-0.08503898484610538,0.0,0,0.0,0.0
delay,4,late,12761,1,3717,1,4788,1,0,-0.2883477770389477,0.11205544879737842,-0.311152912536326,-0.0892503133,-0.34391077888943034,-0.03997978952216261,2024-03-01,-0.22596017321444065,-0.08288730132572616,-0.19234617308654334,0.2602460622208291,0.15469007131102577,-0.08319517916114233,-0.004056765669962376,0,0.0,-0.004056765669962376
delay,12,full,16745,0,4789,0,4789,0,0,-0.20989774504983247,0.3553588790338723,-0.40887298408370476,-0.15638364,-0.3872317975038886,-0.05093083555951375,2022-11-10,-0.12534950435941025,-0.08333463234212732,-0.19126819126819128,0.2566736339205733,0.1567034935801732,-0.08363386066898901,0.0,0,0.0,0.0
delay,12,early,3983,0,1071,0,4789,0,0,0.07980749496891772,0.24463197123755892,-0.09769415496864116,-0.0671303213,-0.10622686343622556,-0.05093083555951375,2022-11-10,0.20037031124508592,-0.08472267933995453,-0.18532323108884263,0.2450414260607582,0.1631935726839066,-0.08503898484610538,0.0,0,0.0,0.0
delay,12,late,12762,0,3718,0,4789,0,0,-0.28970524001875025,0.11072690779631346,-0.31117882911506356,-0.0892533187,-0.3452682418692329,-0.03997978952216261,2024-03-01,-0.22700614325242927,-0.08290142507113955,-0.19235364396654725,0.2603040275818837,0.15467795016455102,-0.08319517916114233,0.0,0,0.0,0.0
baseline,,full,16745,0,0,0,0,0,0,-0.20225703905408046,0.3659675652296243,-0.40887298408370476,-0.15935162020000002,-0.38737879112830864,-0.05212901624573644,2022-11-10,-0.12078652675669183,-0.08363386066898901,-0.1927470744988995,0.2566736339205733,0.15819647656016722,-0.08363386066898901,0.0,0,0.0,0.0
baseline,,early,3984,0,0,0,0,0,0,0.07393094702302855,0.24011379490335027,-0.09772244128032172,-0.0684604066,-0.10236025571516394,-0.05212901624573644,2022-11-10,0.18556964614213992,-0.08503898484610539,-0.18864468864468864,0.24673694779116465,0.16390562248995985,-0.08503898484610538,0.0,0,0.0,0.0
baseline,,late,12761,0,0,0,0,0,0,-0.27618798607710904,0.12585377032627415,-0.31115054280338306,-0.09089121359999999,-0.3461811598708002,-0.03945902091344896,2024-03-01,-0.2164313032498308,-0.08319517916114233,-0.19383718509265035,0.2597758796332576,0.1564140741321213,-0.08319517916114233,0.0,0,0.0,0.0
