fund_bucket,trades,net_pct_capital,mean_net_bps,gross_pct_capital,funding_pct_capital,tp_rate,n_symbols,era
deep_neg,450,-1.834384170499047,-0.4076409267775659,4.160188379005002,-4.933139300000001,0.28888888888888886,92,early
neg,830,0.7733905298540569,0.09317958191012733,4.119427675525255,-1.35633764,0.17951807228915662,142,early
pos,424,2.2873355196902474,0.5394659244552471,3.047526655363779,0.27336761,0.17688679245283018,101,early
zero,2280,5.855650885416866,0.256826793220038,12.401164622600259,-0.8579611099999999,0.13114035087719297,171,early
deep_neg,1305,-5.908543078501246,-0.45276192172423346,10.361110018829509,-13.340054330000001,0.2636015325670498,218,full
neg,2303,-3.2960502593126044,-0.1431198549419281,5.780890370906813,-3.5489350699999997,0.1337386018237082,313,full
pos,2947,1.2632371216868832,0.04286518906300927,4.939441222239578,3.39918164,0.23040380047505937,321,full
zero,10190,-12.2843476892811,-0.12055297045418155,15.515314910986516,-2.44535426,0.129342492639843,419,full
deep_neg,855,-4.074158908002199,-0.47650981380142676,6.2009216398245055,-8.40691503,0.25029239766081873,178,late
neg,1473,-4.069440789166661,-0.27626889267933885,1.6614626953815586,-2.19259743,0.1079429735234216,280,late
pos,2523,-1.0240983980033642,-0.04059050328986779,1.8919145668757988,3.12581403,0.23939754260800633,293,late
zero,7910,-18.139998574697966,-0.22932994405433588,3.114150288386258,-1.5873931499999998,0.12882427307206068,402,late
