exit_month,n,net_pct
2024-12,3,-0.29529118463248094
2025-01,9,-0.9998131617247238
2025-02,14,0.8338113941746137
2025-03,71,-8.295020601046648
2025-04,21,-9.353431273199893
2025-06,13,-0.15973125105233127
2025-08,46,2.0760842599563305
2025-09,42,0.3959455352498014
2025-10,18,0.32436010961811085
2025-11,67,2.330989031606712
2025-12,71,4.223076525651565
2026-01,15,1.0120200161501418
2026-02,88,5.028026225817066
2026-03,22,0.16627638019037505
2026-04,3,0.1554393822285802
2026-05,21,2.8302837610709037
2026-06,68,3.8410605326633265
2026-07,25,1.6039485172561243
