book,mult,c_rest,delta_net_pct,delta_early_pct,delta_late_pct,delta_tail_pct,at_high_notional_share,perm_percentile,perm_mean_pct,perm_p95_pct
gate_on,1.25,0.5893881717961539,1.413431443704749,0.16178797174529175,1.2516434719594582,0.7748956571412726,0.6215629370734532,0.75,-0.041957996935353556,3.551752638216419
gate_on,1.5,0.17877634359230782,2.826862887409498,0.3235759434905835,2.5032869439189165,1.5497913142825452,0.6215629370734532,0.762,-0.1515445421421679,6.548900000660551
gate_on/age240_turn4pop3_crowd2,1.25,0.5942498494036252,0.5953665675882587,0.06706962661669523,0.5282969409715637,0.206434476076806,0.6187572358578394,0.69,-0.02387226275690472,1.779377208966275
gate_on/age240_turn4pop3_crowd2,1.5,0.18849969880725043,1.1907331351765174,0.13413925323339046,1.0565938819431273,0.412868952153612,0.6187572358578394,0.738,-0.16160171077449606,3.5340604950869094
gate_on/age240_turn4pop5_crowd2,1.25,0.4964683465793796,-0.4477739889260271,-0.19747257393415316,-0.25030141499187347,0.2681420813011562,0.6682289338939682,0.364,0.031549643787752914,2.0083516575730895
gate_on/age240_turn4pop5_crowd2,1.5,-0.007063306841239966,-0.8955479778520486,-0.3949451478683044,-0.5006028299837425,0.5362841626023124,0.6682289338939682,0.36,0.03317583922333569,4.281088442007606
gate_on/merged_signal,1.25,0.6470505021034827,0.9998923916567725,0.2248353027089393,0.7750570889478339,0.28876388075474263,0.5853715761068484,0.814,-0.04512495322788459,1.8235840897889253
gate_on/merged_signal,1.5,0.29410100420696567,1.9997847833135456,0.4496706054178791,1.5501141778956677,0.5775277615094854,0.5853715761068484,0.804,-0.0844247266504885,3.8979250364347497
gate_off,1.25,0.6753053147315128,7.163784355898116,-0.21673720552150122,7.380521561419619,0.7050211869542945,0.5649864068549643,0.994,-0.3433231633048645,4.672881000679176
gate_off,1.5,0.3506106294630258,14.327568711796236,-0.43347441104300033,14.761043122839238,1.410042373908589,0.5649864068549643,0.986,0.229273795824151,10.630433754577007
gate_off/age240_turn4pop3_crowd2,1.25,0.6781061347269889,2.6555070975364945,0.013941701704061346,2.6415653958324334,0.25024451146812315,0.5628559507616767,0.912,0.08005492713911336,3.173200310481719
gate_off/age240_turn4pop3_crowd2,1.5,0.35621226945397844,5.311014195072991,0.027883403408124688,5.283130791664865,0.5004890229362461,0.5628559507616767,0.914,0.2096804487369852,6.2949613212871
gate_off/age240_turn4pop5_crowd2,1.25,0.614815458307675,1.3825392306330633,-0.20139812260559242,1.5839373532386551,0.16714203651960435,0.6064135954349205,0.784,-0.061462147375392635,3.148882321192434
gate_off/age240_turn4pop5_crowd2,1.5,0.2296309166153501,2.7650784612661266,-0.40279624521118484,3.1678747064773103,0.3342840730392087,0.6064135954349205,0.758,0.09834244370411922,6.715333486716905
gate_off/merged_signal,1.25,0.7152431146979383,2.861595085339737,-0.069448135567746,2.9310432209074824,0.2609310119551174,0.5324978380431971,0.942,-0.05452335353386381,2.9198232976513694
gate_off/merged_signal,1.5,0.43048622939587644,5.723190170679473,-0.13889627113549302,5.862086441814965,0.5218620239102351,0.5324978380431971,0.94,-0.023445069987055932,5.924391784480641
barebones,1.25,0.9555047485051001,3.2635441688912192,1.3362274477016205,1.9273167211895994,-0.2679735149511351,0.1510898775753957,0.996,-0.017783386761655924,2.1879354379919516
barebones,1.5,0.9110094970102003,6.5270883377824385,2.672454895403241,3.854633442379199,-0.5359470299022702,0.1510898775753957,0.992,0.027657815162959044,4.605898003250935
