bucket,era,n_symbol_days,n_symbols,rel_range_med_bp_med,rel_range_p75_bp_med,sigma_1m_bp_med,amihud_bp_per_kusd_med,zero_vol_minutes_med,day_turnover_kusd_med,rel_range_med_bp_p75,rel_range_p75_bp_p75,sigma_1m_bp_p75,amihud_bp_per_kusd_p75,zero_vol_minutes_p75,day_turnover_kusd_p75
listing_d1_d7,e2324,1386,198,26.883573012130547,43.252477316991005,30.3629735733713,13.549155015912316,5.0,11581.90711423,42.29075021182646,66.42679383604596,43.35115456140463,122.11365680970634,86.0,39555.1487921
listing_d1_d7,e2526,560,80,40.801231656096434,60.49968036226061,38.58239291041046,2.7822300491753578,0.0,28879.125492914995,58.154799459144805,86.18460934992662,54.856447504919714,12.565935768722191,3.0,78655.08197130001
mature_d60_d66,e2324,1386,198,15.249155716284253,24.339542986341897,17.71137456434831,32.715465739163776,17.0,5396.9484743699995,23.244827370325645,35.70744772220578,24.35129849808393,183.71453108939576,161.0,18886.2054961
mature_d60_d66,e2526,560,80,13.393613913932722,22.097863258519936,17.38407936334802,70.61447882429763,40.0,2632.0565527050003,20.25207545037395,32.51234558144487,24.369748106959126,289.17444858110616,192.0,8145.187279058
