arm,era,n,n_months,mean_gross_bp,mean_funding_bp,mean_net_bp,median_net_bp,ci95_lo_bp,ci95_hi_bp,win_rate,excluded_missing_exit
long_d0_d2,full,907,63,-37.175918797358634,35.95613803748622,-46.21978075987241,-377.4094955489616,-274.83804667672104,201.5573588254652,0.37265711135611906,13
long_d0_d2,2021H2-2022,183,20,-232.40635627046,-6.51885792349727,-283.9252141939573,-335.51154013644845,-644.1134073641977,23.30346177805446,0.3879781420765027,13
long_d0_d2,2023-2024,337,24,128.2501395425563,19.711765281899112,102.96190482445547,-435.5683746981026,-217.56542760379992,426.7551792022486,0.3768545994065282,13
long_d0_d2,2025-2026,387,19,-88.91083250013328,70.18683023255814,-63.72400226757514,-355.4208497607657,-466.0976069561684,430.45197305211093,0.36175710594315247,13
short_d1_d7,full,896,63,181.78016087878248,-51.905771428571434,84.87438945021098,620.0267616966004,-302.34320543041656,424.6086942209064,0.6316964285714286,24
short_d1_d7,2021H2-2022,182,20,293.85940908552175,26.110133516483515,274.9695426020052,570.4603434522073,-84.33319653676341,639.461997459586,0.6593406593406593,24
short_d1_d7,2023-2024,337,24,340.5297681840385,-22.348047181008898,273.18172100302957,639.3673084040649,-58.75669658919965,586.6752768552212,0.6379821958456974,24
short_d1_d7,2025-2026,377,19,-14.233210037657406,-115.99024827586207,-175.22345831351953,619.9065317399615,-974.0704620507178,567.34238173454,0.6127320954907162,24
short_d2_d7,full,896,63,80.68835295387457,-39.568614620535726,-3.880261666661131,514.6532403923945,-412.6928860187144,345.2327029824044,0.6283482142857143,24
short_d2_d7,2021H2-2022,182,20,116.03941858354187,19.3769032967033,90.4163218802451,540.5824425586852,-317.9627508917214,468.97480653924976,0.6208791208791209,24
short_d2_d7,2023-2024,337,24,372.7645564012233,-15.149784569732939,312.6147718314903,515.7823730360927,11.318836790516407,605.5354340505888,0.6468842729970327,24
short_d2_d7,2025-2026,377,19,-197.46436456961587,-89.85304429708223,-332.31740886669814,507.51065336976404,-1150.717952918936,398.63768289258564,0.6153846153846154,24
short_d2_d14,full,887,63,-204.74451939691605,-81.84997508455469,-331.59449448147075,1044.115787684187,-1698.6120052184997,592.0217057998427,0.6538895152198422,33
short_d2_d14,2021H2-2022,182,20,18.03892730117914,37.840690109890105,10.879617411069303,664.7810585775596,-604.9558959369268,607.2024377750295,0.6208791208791209,33
short_d2_d14,2023-2024,337,24,76.5395873526217,-5.308175074183974,26.231412278437727,1014.2462577825162,-721.3341157768192,809.2686319647349,0.6379821958456974,33
short_d2_d14,2025-2026,368,19,-572.5144413361753,-211.13880027173914,-828.6532416079147,1218.2173748009457,-3865.235220319596,1146.767324244861,0.6847826086956522,33
short_d1_d14,full,887,63,-165.34251898851142,-94.3199420518602,-304.6624610403716,1086.3791992218175,-1752.690846835136,709.9027001689476,0.6719278466741826,33
short_d1_d14,2021H2-2022,182,20,201.9483589673236,44.57392032967033,201.5222792969941,911.8260446186005,-485.51716190947394,859.0830220175696,0.6648351648351648,33
short_d1_d14,2023-2024,337,24,109.47467271193982,-12.506437685459941,51.96823502647996,1051.1813533201803,-712.3341649176579,757.2734800233576,0.658753709198813,33
short_d1_d14,2025-2026,368,19,-598.6586423336581,-237.9336211956522,-881.5922635293106,1226.66893244973,-4281.676734195168,1300.3445921644075,0.6875,33
short_d2_d30,full,857,62,755.1998000103484,-133.0941448074679,577.1056552028807,1836.098071160346,-90.43145275121971,1187.7131656580689,0.6861143523920653,63
short_d2_d30,2021H2-2022,181,20,545.3887729476655,57.17608342541437,557.5648563730799,1869.7577045454552,-265.0391473479286,1560.2065459522214,0.6906077348066298,63
short_d2_d30,2023-2024,335,24,25.96864476447979,2.3478005970149214,-16.683554638505083,1652.6601096866093,-1162.3382985432202,1069.963809187648,0.6537313432835821,63
short_d2_d30,2025-2026,341,18,1582.9658789127284,-367.1468222873901,1170.8190566253388,1978.6760573065899,322.73430581821935,2071.528292738195,0.7155425219941349,63
