era,arm,days,total_return,annualized_return,max_drawdown,worst_day_return,worst_day,entries,per_entry_net_bps,tail_days_in_window,tail_sum_return,tail_mean_return,tail_worst_return,tail_negative_days,return_2024-08-06
full,baseline,1193,0.22927041139058568,0.06519165319298126,-0.012975697665533303,-0.009265185191606512,2023-12-23,2300,0.9968278756112422,93,0.014541634394089746,0.00015636166015150265,-0.002463889131670219,15,-0.0008073628226930165
full,gate_off,1193,0.21935537364102764,0.06255564610490394,-0.06354297524756403,-0.018788708400524906,2025-04-20,4019,0.545795903560656,93,0.013116160928912152,0.00014103398848292636,-0.004578116497744287,28,-0.00046985650988003294
early,baseline,596,0.08518402161301042,0.05133917701152857,-0.012975697665533303,-0.009265185191606512,2023-12-23,0,,92,0.014934162722616958,0.0001623278556806191,-0.002463889131670219,14,-0.0008073628226930165
early,gate_off,596,0.10587035851744675,0.06356776659104324,-0.023416435111601075,-0.00925679513975495,2023-12-23,0,,92,0.01338833167441725,0.00014552534428714401,-0.004578116497744287,27,-0.00046985650988003294
late,baseline,597,0.12949553170599204,0.07729112001625249,-0.011995414335072008,-0.00660485736385674,2025-09-18,0,,1,-0.00039252832852721146,-0.00039252832852721146,-0.00039252832852721146,1,
late,gate_off,597,0.10076093765816263,0.06045123190270196,-0.06354297524756547,-0.018788708400524906,2025-04-20,0,,1,-0.0002721707455050968,-0.0002721707455050968,-0.0002721707455050968,1,
