surface,threshold,registered,era,trigger_days,triggers_per_year,false_trip_rate,mean_continuation,worst_continuation,blocked_entries,blocked_unique,forgone_upside,avoided_loss,blocked_net_sum,baseline_net,governed_net,baseline_es95,governed_es95,baseline_es99,governed_es99,baseline_worst_day,governed_worst_day
barebones_book,-0.01,false,full,89,24.852637614678898,0.19101123595505617,-0.004694276881498024,-0.06284027184413123,707,665,0.08356272739001688,-0.19431267208142558,-0.1107499446914087,-0.23456066930628386,-0.12381072461487516,-0.016515543340124218,-0.0154435326763237,-0.027918255961849776,-0.025441766805606388,-0.05212901624573644,-0.05212901624573644
barebones_book,-0.01,false,early,10,5.601993865030675,0.1,-0.005650507243259277,-0.024102396670790303,83,70,0.01768291582412119,-0.005499912438816893,0.012183003385304297,0.06938704274187354,0.05720403935656926,-0.010074242291239955,-0.010401989809488959,-0.020987037932264918,-0.022157481469672186,-0.05212901624573644,-0.05212901624573644
barebones_book,-0.01,false,late,79,43.9858993902439,0.20253164556962025,-0.004573235063553562,-0.06284027184413123,624,595,0.06587981156589569,-0.18881275964260869,-0.122932948076713,-0.3039477120481574,-0.18101476397144442,-0.01964414515072283,-0.017754283911383666,-0.030590096625917555,-0.026610216127657096,-0.03649118445962602,-0.03208258802381842
barebones_book,-0.015,true,full,36,10.052752293577981,0.08333333333333333,-0.007203454138371198,-0.05784027184413122,246,224,0.03347008336042676,-0.06911178033311943,-0.03564169697269267,-0.23456066930628386,-0.19891897233359118,-0.016515543340124218,-0.01618874799454096,-0.027918255961849776,-0.0273228838786839,-0.05212901624573644,-0.05212901624573644
barebones_book,-0.015,true,early,6,3.361196319018405,0.3333333333333333,-0.004293120162860189,-0.019102396670790306,48,38,0.007039747471501993,-0.006718865743598368,0.0003208817279036248,0.06938704274187354,0.06906616101396992,-0.010074242291239955,-0.010241500733328182,-0.020987037932264918,-0.021402708450794828,-0.05212901624573644,-0.05212901624573644
barebones_book,-0.015,true,late,30,16.703506097560975,0.03333333333333333,-0.007785520933473401,-0.05784027184413122,198,186,0.026430335888924773,-0.06239291458952107,-0.0359625787005963,-0.3039477120481574,-0.2679851333475611,-0.01964414515072283,-0.01920839752730887,-0.030590096625917555,-0.029135086945920874,-0.03649118445962602,-0.03208258802381842
barebones_book,-0.02,false,full,17,4.747133027522936,0.17647058823529413,-0.008349071247667513,-0.05284027184413122,117,103,0.014961278676466676,-0.035570051844580855,-0.02060877316811418,-0.23456066930628386,-0.21395189613816967,-0.016515543340124218,-0.01625941381398913,-0.027918255961849776,-0.02761959695981479,-0.05212901624573644,-0.05212901624573644
barebones_book,-0.02,false,early,2,1.1203987730061349,0.5,-0.0062836808094230805,-0.014102396670790305,22,18,0.007471315684253698,0.0,0.007471315684253698,0.06938704274187354,0.06191572705761985,-0.010074242291239955,-0.010094731504392338,-0.020987037932264918,-0.021096313735744294,-0.05212901624573644,-0.05212901624573644
barebones_book,-0.02,false,late,15,8.351753048780488,0.13333333333333333,-0.008624456639433436,-0.05284027184413122,95,85,0.007489962992212979,-0.035570051844580855,-0.028080088852367877,-0.3039477120481574,-0.2758676231957895,-0.01964414515072283,-0.019355459541097242,-0.030590096625917555,-0.029869853018555475,-0.03649118445962602,-0.03649118445962602
render_gate_on,-0.01,false,full,17,5.209102348993288,0.058823529411764705,-0.0057323561145026574,-0.019749175316734292,17,8,0.011544885599609946,-0.007453356707954623,0.004091528891655323,0.5401655290511983,0.536074000159543,-0.00900603319641709,-0.008960509038604021,-0.016806525412694766,-0.016806525412694766,-0.030353160836203576,-0.030353160836203576
