refit,train_rows,scored_rows,ridge_hours_since_high_168h,ridge_r_1h,ridge_mom_delta,ridge_known_rate_prev,ridge_funding_ewma_hl3,ridge_n_intervals_planned_hold,ridge_cost_per_unit,ridge_score,ridge_age_days_censored,ridge_intercept,logit_hours_since_high_168h,logit_r_1h,logit_mom_delta,logit_known_rate_prev,logit_funding_ewma_hl3,logit_n_intervals_planned_hold,logit_cost_per_unit,logit_score,logit_age_days_censored
2022-07-01,1528,860,0.014070433514432667,-0.024515758158268564,-0.013598568166369571,-0.006157419799352024,0.00427991534706873,0.0024073800954328064,-0.01462670942763919,0.007174685969000473,0.0031955706507212256,6.356952677100854e-16,0.05118153649742034,-0.07924061969604915,-0.10415925532396275,-0.012141068852233082,-0.015490931884797695,0.042550687890903716,-0.06250062698846136,-0.022022544810491387,0.04944953171532063
2022-10-01,2385,874,0.0019924914031447306,-0.00933865336543181,-0.018918905729711614,-0.008445731968934738,0.005143680140441319,0.0056802203419938635,-0.01912228133727392,0.011924956297712353,-0.010612468463952947,2.338941970121327e-15,0.005260673107270158,0.006300996491381835,-0.16039057285858244,-0.006019400217212818,-0.010903167418211788,0.059643467958015735,-0.10173175659153133,0.02382669365688856,-0.020915086704386257
2023-01-01,3263,1163,0.0018829105094114117,-0.01554177730656806,-0.01512785963159615,0.003253287338334716,-0.005787342340558846,0.007964018986784857,-0.01848150362622447,0.01532759163454557,-0.004819873993917102,1.4867912894129347e-15,-0.0003758882698004651,-0.020786525770377182,-0.13714670286633837,0.07656227396361591,-0.10917842160142305,0.07006304388172396,-0.09831761430460854,0.03260852153778758,-0.004846003095352593
2023-04-01,4418,1268,-0.0004852352849037457,-0.001004077797657102,-0.023589753068377677,-0.002017435062667491,-0.004274305544331396,0.0075386555440414395,-0.014768692157797303,0.018334160080411735,-0.012168168145364845,4.271305499361082e-15,-0.01368264276527805,0.04968488510841406,-0.1809533779461299,0.049737562060023444,-0.10227845538946984,0.06664342951573005,-0.07167885412952248,0.06183323474917608,-0.056002551157332915
2023-07-01,5678,1367,-0.005450044907758319,0.0003644964375342939,-0.024980509784604824,-0.003487939632152321,-0.005294072317220865,0.0073491763183051164,-0.01233687182496587,0.014545141571933656,-0.012781427921953158,3.274103247549163e-15,-0.04971486527041186,0.050308640607254984,-0.1814352623408701,0.049758266650601464,-0.10944435618355489,0.06120036772096117,-0.04063586250668712,0.04990812608658493,-0.04047233003181351
2023-10-01,7047,1654,-0.01022008543396615,-0.002996773856406987,-0.022549571099519505,-0.009857683652830506,0.005980538596193776,0.007191543992155602,-0.010273132070368441,0.012594787743655612,-0.014786164648765063,2.332798949971858e-15,-0.07632215762141573,0.018912014707466732,-0.15043969036503535,-0.00036784454259663595,-0.028293188127238956,0.054384419149239686,-0.022210132984469295,0.04550640034585137,-0.03265619315409478
2024-01-01,8702,2014,-0.009941982784829332,-0.0010669724703223338,-0.022067954175315537,-0.009909781314897942,0.004424319317404295,0.006798532968303565,-0.009840509612304395,0.012750103747757403,-0.008938834761521394,1.2205825311278557e-15,-0.06669919443079511,0.026255953060342882,-0.15059694837652132,-0.004521552153736444,-0.03614361603931151,0.051916183468500306,-0.016459312281877612,0.04359403549605362,-0.0061479787570250756
2024-04-01,10715,2183,-0.01114956620551387,0.005327513354794155,-0.017492791374015933,-0.009035054944774747,0.00746119079955608,0.006996061384443952,-0.012826493118308543,0.013663811918213966,-0.008693890227663698,3.0017019706233124e-15,-0.07648862488052133,0.06166724640497115,-0.13615005700763003,-0.01159156650284818,-0.02742828302872977,0.05008049794960891,-0.025814700499972813,0.0590573255091749,-0.022026382098170424
2024-07-01,12899,2268,-0.009535137805526547,0.008462182646899553,-0.016081369771260054,-0.010247978159323433,0.007814682984536676,0.005588255388215448,-0.013735880769080404,0.011303567427356397,-0.007377230646977589,3.3281211021403216e-16,-0.06430108913555153,0.0754941868757051,-0.12463564642562554,-0.013719401808092085,-0.03048974225705932,0.039039979033990584,-0.023846097640448656,0.04905105051015032,-0.014136038629971197
2024-10-01,15159,1561,-0.0058270092631352004,0.007680668796322534,-0.015040772779673063,-0.008787198421028767,0.008711431484610474,0.005097304164116723,-0.015036845826053944,0.01131916567846704,-0.010441999794364993,-2.575219736463874e-15,-0.046280282586370985,0.07653389540962843,-0.12386521693784718,-0.012415879418167531,-0.01984004256361299,0.038160866886195355,-0.029309226986552427,0.05039943472690661,-0.027440377852090823
