wf_decile,trades,mean_net_per_unit_bps,mean_net_bps,win_rate,era
1,385,-23.965668138548313,-0.2396566813854831,0.5168831168831168,early
2,351,7.179095643802789,0.07179095643802785,0.5384615384615384,early
3,312,-26.666732338406423,-0.2666673233840642,0.5160256410256411,early
4,257,-11.325243920719435,-0.11325243920719433,0.5330739299610895,early
5,210,-69.48393411463427,-0.6948393411463427,0.5380952380952381,early
6,226,-90.00449520382115,-0.9000449520382114,0.5088495575221239,early
7,188,-50.24749523339442,-0.5024749523339442,0.526595744680851,early
8,195,-20.659163447880594,-0.2065916344788059,0.558974358974359,early
9,152,52.054524445883466,0.5205452444588347,0.6052631578947368,early
10,175,88.80258480489826,0.8880258480489824,0.6342857142857142,early
1,2319,-20.33770639312989,-0.20337706393129884,0.511858559724019,full
2,1794,12.598289572970401,0.12598289572970403,0.5618729096989966,full
3,1779,-34.21563618378487,-0.34215636183784875,0.5407532321528948,full
4,1524,-33.908546388571324,-0.3390854638857132,0.5374015748031497,full
5,1416,-27.420141318870872,-0.2742014131887088,0.5515536723163842,full
6,1402,-17.177236865095875,-0.17177236865095874,0.5677603423680456,full
7,1362,-75.2042637208464,-0.7520426372084641,0.5484581497797357,full
8,1354,-35.099306729926944,-0.35099306729926943,0.5664697193500738,full
9,1155,16.687986448222826,0.16687986448222827,0.5913419913419914,full
10,1107,13.302654838031895,0.1330265483803189,0.6233062330623306,full
1,1934,-19.61549063719085,-0.1961549063719085,0.5108583247156153,late
2,1443,13.91647188006523,0.13916471880065226,0.5675675675675675,late
3,1467,-35.82112902615575,-0.35821129026155746,0.5460122699386503,late
4,1267,-38.48937411883015,-0.3848937411883015,0.5382794001578532,late
5,1206,-20.095600284782723,-0.20095600284782725,0.5538971807628524,late
6,1176,-3.1815222523816646,-0.031815222523816654,0.5790816326530612,late
7,1174,-79.20074794200568,-0.7920074794200567,0.5519591141396933,late
8,1159,-37.52883903363621,-0.37528839033636213,0.5677308024158757,late
9,1003,11.328351577191505,0.113283515771915,0.5892323030907278,late
10,932,-0.8738341578925805,-0.008738341578925841,0.621244635193133,late
