axis,rule,arm_pct,retain_frac,era,trades,unchanged,adaptive_exits,forfeited_tp_n,forfeited_tp_net_delta,captured_n,captured_net_delta,net_return,gross_return,cost_return,funding_return,max_drawdown,worst_day_return,worst_day,per_trade_net_bps,tp_rate,mean_mae,p10_mae,baseline_mean_mae,changed_partial_funding
full,baseline,,,full,16745,16745,0,0,0.0,0,0.0,-0.20225703905408046,0.3659675652296243,-0.40887298408370476,-0.15935162020000002,-0.38737879112830864,-0.05212901624573644,2022-11-10,-0.12078652675669183,0.15819647656016722,-0.08363386066898901,-0.1927470744988995,-0.08363386066898901,0
full,baseline,,,early,3984,3984,0,0,0.0,0,0.0,0.07393094702302853,0.24011379490335022,-0.09772244128032173,-0.06846040660000001,-0.10236025571516394,-0.05212901624573644,2022-11-10,0.1855696461421399,0.16390562248995985,-0.08503898484610539,-0.18864468864468864,-0.08503898484610539,0
full,baseline,,,late,12761,12761,0,0,0.0,0,0.0,-0.276187986077109,0.12585377032627412,-0.31115054280338306,-0.09089121359999999,-0.3461811598708002,-0.03945902091344896,2024-03-01,-0.2164313032498307,0.1564140741321213,-0.08319517916114233,-0.19383718509265035,-0.08319517916114233,0
full,giveback,0.04,0.5,full,16745,9490,7255,1111,-1.1305595413321288,6144,1.102086504236542,-0.2307300761496675,0.2833368191340373,-0.40887298408370476,-0.1051939112,-0.36463501132654097,-0.037279307823646725,2023-12-23,-0.13779043066567184,0.09184831292923261,-0.06700219147673288,-0.15674362089914928,-0.08363386066898898,6
full,giveback,0.04,0.5,early,3984,2275,1709,265,-0.27892032173626424,1444,0.2559153333832652,0.05132462004855378,0.19276111532887555,-0.09772244128032173,-0.043714053999999995,-0.08176429128201179,-0.035596926098915564,2022-11-10,0.12882685755159082,0.09738955823293173,-0.06772602964841191,-0.14893617021276595,-0.08503898484610539,6
full,giveback,0.04,0.5,late,12761,7215,5546,846,-0.8516392195958646,4700,0.8461711708532769,-0.28205469619822127,0.09057570380516185,-0.31115054280338306,-0.061479857199999995,-0.30783943073254405,-0.037279307823646725,2023-12-23,-0.2210286781586249,0.09011832928453883,-0.06677620830331629,-0.15906928466395653,-0.08319517916114234,6
full,giveback,0.04,0.7,full,16745,7828,8917,1682,-1.4801391178435643,7235,1.4399636349287035,-0.2424325219689417,0.26788546071476316,-0.40887298408370476,-0.10144499859999999,-0.3537984313702205,-0.03676302277950719,2023-12-23,-0.14477905163866328,0.05774858166616901,-0.06656972320534964,-0.15629494678300904,-0.08363386066898898,6
full,giveback,0.04,0.7,early,3984,1851,2133,413,-0.37141704327278624,1720,0.3238519637331326,0.02699883308490866,0.16626349756523037,-0.09772244128032173,-0.041542223200000006,-0.08308706950237355,-0.034708753415225176,2022-11-10,0.06776815533360607,0.060240963855421686,-0.06728818535035194,-0.14832089552238803,-0.08503898484610539,6
full,giveback,0.04,0.7,late,12761,5977,6784,1269,-1.1087220745707782,5515,1.1161116711955705,-0.26943135505385035,0.10162196314953273,-0.31115054280338306,-0.05990277539999999,-0.2980667964118431,-0.03676302277950719,2023-12-23,-0.2111365528201946,0.05697045686074759,-0.0663454184341178,-0.15825229785533512,-0.08319517916114234,6
full,giveback,0.06,0.5,full,16745,12773,3972,695,-0.6515440376756696,3277,0.6587502692744467,-0.19505080745530337,0.33866493732840147,-0.40887298408370476,-0.1248427607,-0.3781529960988578,-0.037268852519305694,2023-12-23,-0.11648301430594409,0.11669154971633323,-0.07540136474758626,-0.174180529579683,-0.08363386066898898,4
