reason,count,detail
pre_floor,113,1INCHUSDT;AAVEUSDT;ADAUSDT;AKROUSDT;ALGOUSDT;ALICEUSDT;ALPHAUSDT;ANKRUSDT;ATOMUSDT;AVAXUSDT;AXSUSDT;BALUSDT;BANDUSDT;BATUSDT;BCHUSDT;BELUSDT;BLZUSDT;BNBUSDT;BTCSTUSDT;BTCUSDT;BTSUSDT;BTTUSDT;BZRXUSDT;CELRUSDT;CHRUSDT;CHZUSDT;COMPUSDT;COTIUSDT;CRVUSDT;CTKUSDT;CVCUSDT;DASHUSDT;DEFIUSDT;DENTUSDT;DGBUSDT;DODOUSDT;DOGEUSDT;DOTECOUSDT;DOTUSDT;EGLDUSDT;ENJUSDT;EOSUSDT;ETCUSDT;ETHUSDT;FILUSDT;FLMUSDT;FTMUSDT;GRTUSDT;HBARUSDT;HNTUSDT
right_censored,24,ALABUSDT;ARXUSDT;BSPUSDT;CAPUSDT;CATUSDT;CIENUSDT;DATAIPUSDT;FLEXUSDT;GRAMUSDT;KLACUSDT;KORUUSDT;KSTRUSDT;LRCXUSDT;MVLLUSDT;OUSDT;REUSDT;SMCIUSDT;SONYUSDT;SQQQUSDT;STRCUSDT;TERUSDT;TQQQUSDT;TTWOUSDT;TXNUSDT
membership_gap_relist,1,TLMUSDT
kline_gap_d0,3,币安人生USDT;我踏马来了USDT;龙虾USDT
manifest_vs_kline_d0_mismatch,0,""
entry_bar_missing,0,""
exit_bar_missing,0,""
