symbol,d0,era,pump01,crowd7d,d0_bars,funding_events_d0_d7
AZTECUSDT,2026-02-11,e2526,-0.23370786516853936,7,20,46
B2USDT,2025-05-07,e2526,-0.006082525069866729,8,24,48
B3USDT,2025-02-14,e2526,-0.2710027100271002,4,24,48
BABAUSDT,2026-04-21,e2526,-0.02695763799743256,4,24,24
BABYUSDT,2025-04-06,e2526,0.15384615384615374,4,24,48
BADGERUSDT,2023-11-10,e2324,-0.17158385093167705,5,24,48
BAKEUSDT,2021-05-20,e2122,-0.08428557233704281,0,24,24
BANANAS31USDT,2025-03-23,e2526,0.043143014503396415,10,24,48
BANANAUSDT,2024-08-15,e2324,0.1391494252873562,0,22,48
BANKUSDT,2025-04-19,e2526,-0.08150000000000002,6,24,48
BANUSDT,2024-11-19,e2324,-0.25651867512332627,4,24,48
BARDUSDT,2025-09-19,e2526,-0.06266565694812576,7,24,48
BASEDUSDT,2026-03-31,e2526,-0.28583473861720066,5,24,48
BASUSDT,2025-08-27,e2526,0.22449675878539743,5,24,48
BBUSDT,2024-05-14,e2324,-0.06198439241917497,0,24,48
BBXUSDT,2026-06-02,e2526,-0.08175473579262194,18,24,0
BDXNUSDT,2025-06-04,e2526,-0.2249047013977128,4,24,48
BEAMXUSDT,2023-11-18,e2324,0.12920180906979573,3,24,48
BEATUSDT,2025-11-13,e2526,0.2881249316267367,6,24,48
BERAUSDT,2025-02-07,e2526,-0.2960763767609733,0,24,48
BEUSDT,2026-05-27,e2526,-0.06137219584083842,6,24,0
BICOUSDT,2023-09-29,e2324,-0.03151750972762646,2,24,24
BIDUSDT,2025-03-21,e2526,-0.3118940647907307,4,24,48
BIGTIMEUSDT,2023-10-13,e2324,-0.11905667554203125,2,24,48
BILLUSDT,2026-05-08,e2526,0.6829810901001112,3,24,0
BIOUSDT,2025-01-04,e2526,-0.09253804614629357,5,24,48
BIRBUSDT,2026-01-30,e2526,-0.0843512055837563,4,24,111
BLESSUSDT,2025-09-24,e2526,-0.45440690571696807,7,24,48
BLUAIUSDT,2025-10-22,e2526,0.23980424143556278,6,24,48
BLUEBIRDUSDT,2022-11-03,e2122,0.05586878523833927,0,24,24
BLURUSDT,2023-04-29,e2324,0.032098765432098775,0,24,24
BMNRUSDT,2026-06-12,e2526,-0.010922330097087318,24,24,24
BMTUSDT,2025-03-18,e2526,0.586896551724138,3,24,48
BNTUSDT,2023-08-11,e2324,-0.15507761966364808,2,24,24
BNXUSDT,2022-04-01,e2122,0.2514161946017994,0,21,24
BOBUSDT,2025-11-22,e2526,-0.0003086578527703443,0,24,48
BOMEUSDT,2024-03-17,e2324,-0.48863800144126823,3,24,48
BONDUSDT,2023-10-16,e2324,-0.21039823008849556,3,24,48
BRETTUSDT,2024-08-21,e2324,0.04361440393647964,6,24,48
BREVUSDT,2025-12-31,e2526,-0.05062995800279979,0,24,48
BRKBUSDT,2026-05-19,e2526,-0.021376221498371373,17,24,0
BROCCOLI714USDT,2025-03-22,e2526,0.03968719452590408,8,24,48
BROCCOLIF3BUSDT,2025-03-22,e2526,-0.2675172825808654,8,24,24
BRUSDT,2025-03-22,e2526,-0.007080610021786615,8,24,48
BSBUSDT,2026-03-26,e2526,0.4127192459133757,3,24,48
BSVUSDT,2023-10-21,e2324,-0.07531380753138073,4,24,48
BSWUSDT,2024-09-06,e2324,-0.07680798004987532,1,24,48
BTCDOMUSDT,2021-06-21,e2122,0.13141663350576982,0,21,23
BTRUSDT,2025-08-28,e2526,-0.11154475638927364,4,24,48
BTWUSDT,2026-06-05,e2526,0.4712962962962961,19,24,6
BULLAUSDT,2025-07-05,e2526,-0.05994897959183665,2,24,48
BUSDT,2025-05-23,e2526,0.29277708592777074,2,24,48
BXUSDT,2026-06-09,e2526,0.03830309404855803,15,24,15
BZUSDT,2026-04-02,e2526,0.08518039956266787,8,24,48
C98USDT,2021-08-24,e2122,0.6936822161243958,2,21,23
CAKEUSDT,2023-11-03,e2324,0.19269166773326507,3,24,48
CARVUSDT,2025-08-08,e2526,0.03224755700325743,5,24,48
CATIUSDT,2024-09-21,e2324,-0.16214732681962896,6,24,48
CBRSUSDT,2026-05-20,e2526,-0.07843648208469045,18,24,0
CCUSDT,2025-11-01,e2526,0.2099567099567099,4,24,48
CELOUSDT,2021-09-27,e2122,-0.14401294498381878,0,21,23
CETUSUSDT,2024-11-07,e2324,0.2104490068435989,3,24,48
CFGUSDT,2026-03-17,e2526,-0.23085279739272135,2,24,48
CFXUSDT,2023-02-21,e2324,-0.13300643579528038,3,24,24
CGPTUSDT,2024-12-21,e2324,-0.10526074182886525,8,24,48
CHESSUSDT,2024-08-30,e2324,-0.11494252873563215,4,24,48
CHILLGUYUSDT,2024-11-28,e2324,-0.1932802829354554,6,24,48
CHIPUSDT,2026-04-17,e2526,-0.009314140558848494,1,24,48
CKBUSDT,2023-03-01,e2324,-0.04176072234762995,2,24,24
CLANKERUSDT,2025-11-13,e2526,-0.14776260646207917,6,24,48
CLOUSDT,2025-10-15,e2526,-0.3719070403280931,7,24,48
CLUSDT,2026-04-02,e2526,0.13345484001620078,8,24,48
COAIUSDT,2025-09-26,e2526,-0.05495006612248621,4,24,48
