symbol,sign,threshold,persistence,entry,era,age_cell,week_block,hold_h,n_alt_settlements_hold,gross_alt,alt_funding,gross_btc,btc_funding,net_unhedged,net_hedged,capped
0GUSDT,-1,0.0015,2,2025-09-28,e2526,age_lt30,105646,1.0,1,-0.017834502577973144,0.00024429,-7.307951599422324e-6,0.0,-0.022090212577973143,-0.026597520529572566,false
0GUSDT,-1,0.0015,1,2025-09-28,e2526,age_lt30,105646,2.0,2,0.03164884442911342,-0.000025,0.001270728124474818,0.0,0.027123844429113423,0.02389457255358824,false
0GUSDT,-1,0.0015,2,2025-09-28,e2526,age_lt30,105646,1.0,1,0.010929269598039637,-0.0000125,-0.00015826780009597918,0.0,0.006416769598039637,0.0017585017979436582,false
0GUSDT,-1,0.0015,1,2025-09-28,e2526,age_lt30,105646,2.0,2,-0.0526506335660718,-0.000025,-0.0012472144183068856,0.0,-0.0571756335660718,-0.06292284798437868,false
0GUSDT,-1,0.0015,2,2025-09-28,e2526,age_lt30,105646,1.0,1,-0.006104343579587113,-0.0000125,-0.0004798185941041755,0.0,-0.010616843579587112,-0.015596662173691288,false
0GUSDT,-1,0.0015,1,2025-09-29,e2526,age_lt30,105646,6.0,6,-0.1269408425621904,0.00133677,-0.01735013520629014,0.0,-0.13010407256219042,-0.15195420776848056,false
0GUSDT,-1,0.0015,2,2025-09-29,e2526,age_lt30,105646,5.0,5,-0.12271774080805253,0.00087587,-0.017219409380593964,0.0,-0.12634187080805254,-0.1480612801886465,false
0GUSDT,-1,0.0015,1,2025-09-29,e2526,age_lt30,105646,10.0,10,-0.02681909692263451,0.01585757,-0.007262242764388693,0.00006638,-0.01546152692263451,-0.0271573896870232,false
0GUSDT,-1,0.0015,2,2025-09-29,e2526,age_lt30,105646,9.0,9,-0.06195855568646491,0.0139241,-0.0034212605779746497,0.00006638,-0.052534455686464906,-0.06038933626443956,false
0GUSDT,-1,0.0015,1,2025-09-30,e2526,age_lt30,105646,2.0,2,0.015995171269050923,0.0004994299999999999,0.0016529983724323793,0.0,0.011994601269050921,0.009147599641483302,false
0GUSDT,-1,0.0015,2,2025-09-30,e2526,age_lt30,105646,1.0,1,-0.024591648256129695,0.00033318,0.00020286327015595074,0.0,-0.028758468256129696,-0.03305560498597374,false
0GUSDT,-1,0.0015,1,2025-09-30,e2526,age_lt30,105646,2.0,2,0.006158467893353281,0.00041801,0.008127635014815948,0.0,0.0020764778933532813,0.00570411290816923,false
0GUSDT,-1,0.0015,2,2025-09-30,e2526,age_lt30,105646,1.0,1,-0.02154542798714587,0.00043051,0.0058868448945110785,0.0,-0.025614917987145873,-0.02422807309263479,false
0GUSDT,-1,0.0015,1,2025-09-30,e2526,age_lt30,105646,2.0,2,-0.048669743705204604,0.00031368,-0.0005829627798641379,0.0,-0.052856063705204605,-0.05793902648506875,false
0GUSDT,-1,0.0015,2,2025-09-30,e2526,age_lt30,105646,1.0,1,-0.01656386981651725,0.00023564,0.0004823350325686704,0.0,-0.020828229816517253,-0.02484589478394858,false
0GUSDT,-1,0.0015,1,2025-09-30,e2526,age_lt30,105646,8.0,8,0.016705185906012998,0.00435281,-0.00686495423657929,0.00001288,0.016557995906012996,0.005205921669433707,false
0GUSDT,-1,0.0015,2,2025-09-30,e2526,age_lt30,105646,7.0,7,0.016540317022742945,0.00399637,-0.005072838385181688,0.00001288,0.016036687022742944,0.0064767286375612566,false
0GUSDT,-1,0.0015,1,2025-09-30,e2526,age_lt30,105646,12.0,12,0.04692396176272262,0.04865647,-0.020456632711296274,0.0002,0.09108043176272262,0.06632379905142637,false
0GUSDT,-1,0.0015,2,2025-10-01,e2526,age_lt30,105646,11.0,11,0.043488574365462274,0.04697761,-0.019389758081916453,0.0001,0.08596618436546227,0.062176426283545826,false
0GUSDT,-1,0.0015,1,2025-10-01,e2526,age_lt30,105646,3.0,3,0.030034941640026735,0.00143895,0.0015464246916735425,0.0,0.026973891640026736,0.024020316331700278,false
0GUSDT,-1,0.0015,2,2025-10-01,e2526,age_lt30,105646,2.0,2,0.03689567430025442,0.0009223599999999999,0.002502553626149151,0.0,0.03331803430025442,0.03132058792640357,false
0GUSDT,-1,0.0015,1,2025-10-01,e2526,age_lt30,105646,6.0,6,0.010840207314402495,0.00159621,-0.010315303916782259,0.00004183,0.007936417314402495,-0.0068370566023797635,false
0GUSDT,-1,0.0015,2,2025-10-01,e2526,age_lt30,105646,5.0,5,0.004971333188184879,0.00105035,-0.009427738406861286,0.00004183,0.0015216831881848794,-0.012364225218676406,false
0GUSDT,-1,0.0015,1,2025-10-02,e2526,age_lt30,105646,1.0,1,-0.009153568432952897,0.00020318,0.0024400361536801585,0.0,-0.013450388432952896,-0.015510352279272737,false
0GUSDT,-1,0.0015,1,2025-10-02,e2526,age_lt30,105646,2.0,2,0.010811011628339084,0.00012817,-0.0005051139626484069,0.00006812,0.006439181628339085,0.0015021876656906782,false
0GUSDT,-1,0.0015,2,2025-10-02,e2526,age_lt30,105646,1.0,1,0.00272720571976115,-0.0000125,-0.0017172730312147166,0.0,-0.0017852942802388497,-0.008002567311453566,false
0GUSDT,-1,0.0015,1,2025-10-02,e2526,age_lt30,105646,1.0,1,-0.004626543814938211,-0.0000125,0.006999486537068833,0.0,-0.00913904381493821,-0.006639557277869378,false
0GUSDT,-1,0.0015,1,2025-10-02,e2526,age_lt30,105646,1.0,1,0.0032322321193669623,6.36e-6,-0.001330093875218541,0.0,-0.0012614078806330374,-0.0070915017558515776,false
0GUSDT,-1,0.0015,1,2025-10-03,e2526,age_lt30,105646,2.0,2,0.07157456879549629,0.00135804,-0.00012657163246587722,0.0,0.06843260879549629,0.06380603716303042,false
0GUSDT,-1,0.0015,2,2025-10-03,e2526,age_lt30,105646,1.0,1,0.07550836782436576,0.00118295,-0.0025308404443662447,0.0,0.07219131782436576,0.06516047737999953,false
0GUSDT,-1,0.0015,1,2025-10-03,e2526,age_lt30,105646,6.0,6,0.02776428125216901,0.00347311,-0.0006981839727251415,6.6e-7,0.02673739125216901,0.021539867279443868,false
0GUSDT,-1,0.0015,2,2025-10-03,e2526,age_lt30,105646,5.0,5,0.033863985476888736,0.00304402,-0.002133390223739262,6.6e-7,0.03240800547688874,0.025775275253149474,false
0GUSDT,-1,0.0015,1,2025-10-03,e2526,age_lt30,105646,2.0,2,-0.0044775178154758954,0.00017206,-0.013590513781661429,0.00001396,-0.008805457815475894,-0.026882011597137323,false
