symbol,d0,era,week_block,side,entry_day,gross,funding,net45,net90,n_funding_events_hold,pump_cell,tdecay_cell,fund_cell,crowd_cell,btc_cell,pump01,tdecay,fund8h,btc30d
1000CATUSDT,2024-10-22,e2324,105597,short,1,0.15380883066472584,0.00459273,0.15390156066472582,0.14940156066472582,35,pump_0_25,tdec_ge70,fund_flat,crowd_01,btc_up,0.15656565656565657,2.151659994805901,0.00035608,0.05284509178225005
1000CATUSDT,2024-10-22,e2324,105597,long,1,-0.15380883066472584,-0.00459273,-0.16290156066472583,-0.16740156066472583,35,pump_0_25,tdec_ge70,fund_flat,crowd_01,btc_up,0.15656565656565657,2.151659994805901,0.00035608,0.05284509178225005
1000CATUSDT,2024-10-22,e2324,105597,short,2,0.12603357554497618,0.0035387500000000002,0.1250723255449762,0.1205723255449762,29,pump_0_25,tdec_ge70,fund_flat,crowd_01,btc_up,0.15656565656565657,1.1016484128386164,0.00045126,0.0611847809336723
1000CATUSDT,2024-10-22,e2324,105597,long,2,-0.12603357554497618,-0.0035387500000000002,-0.1340723255449762,-0.1385723255449762,29,pump_0_25,tdec_ge70,fund_flat,crowd_01,btc_up,0.15656565656565657,1.1016484128386164,0.00045126,0.0611847809336723
1000CHEEMSUSDT,2024-11-26,e2324,105602,short,1,-0.08633193863319392,0.01940857,-0.07142336863319393,-0.07592336863319392,35,pump_0_25,tdec_30_70,fund_pos,crowd_24,btc_up,0.04063860667634245,0.6320909771553043,0.00182028,0.37124964255075765
1000CHEEMSUSDT,2024-11-26,e2324,105602,long,1,0.08633193863319392,-0.01940857,0.06242336863319393,0.057923368633193924,35,pump_0_25,tdec_30_70,fund_pos,crowd_24,btc_up,0.04063860667634245,0.6320909771553043,0.00182028,0.37124964255075765
1000CHEEMSUSDT,2024-11-26,e2324,105602,short,2,-0.12395382395382391,0.0162949,-0.11215892395382392,-0.1166589239538239,29,pump_0_25,tdec_lt30,fund_pos,crowd_24,btc_up,0.04063860667634245,0.17035902179911622,0.00116816,0.31557681864736487
1000CHEEMSUSDT,2024-11-26,e2324,105602,long,2,0.12395382395382391,-0.0162949,0.10315892395382391,0.09865892395382392,29,pump_0_25,tdec_lt30,fund_pos,crowd_24,btc_up,0.04063860667634245,0.17035902179911622,0.00116816,0.31557681864736487
1000FLOKIUSDT,2023-05-07,e2324,105521,short,1,-0.044528521536670446,0.0011627,-0.04786582153667044,-0.052365821536670444,18,pump_le0,tdec_ge70,fund_flat,crowd_24,btc_down,-0.1407851962990747,0.7437926636075927,0.00009999997916667102,-0.00949331958216515
1000FLOKIUSDT,2023-05-07,e2324,105521,long,1,0.044528521536670446,-0.0011627,0.038865821536670446,0.03436582153667044,18,pump_le0,tdec_ge70,fund_flat,crowd_24,btc_down,-0.1407851962990747,0.7437926636075927,0.00009999997916667102,-0.00949331958216515
1000FLOKIUSDT,2023-05-07,e2324,105521,short,2,-0.0016745743790119328,0.00091292,-0.005261654379011932,-0.009761654379011933,15,pump_le0,tdec_30_70,fund_flat,crowd_24,btc_down,-0.1407851962990747,0.5750542885626627,0.00004978,-0.024698510035535914
1000FLOKIUSDT,2023-05-07,e2324,105521,long,2,0.0016745743790119328,-0.00091292,-0.003738345620988067,-0.008238345620988066,15,pump_le0,tdec_30_70,fund_flat,crowd_24,btc_down,-0.1407851962990747,0.5750542885626627,0.00004978,-0.024698510035535914
1000LUNCUSDT,2022-09-10,e2122,105486,short,1,0.28696857670979675,-0.0046970399999999995,0.27777153670979676,0.27327153670979676,18,pump_0_25,tdec_ge70,fund_neg,crowd_24,btc_down,0.00838769804287054,0.9295542639989101,-0.0008444200879604259,-0.10526704254228603
1000LUNCUSDT,2022-09-10,e2122,105486,long,1,-0.28696857670979675,0.0046970399999999995,-0.28677153670979677,-0.2912715367097968,18,pump_0_25,tdec_ge70,fund_neg,crowd_24,btc_down,0.00838769804287054,0.9295542639989101,-0.0008444200879604259,-0.10526704254228603
