side,entry_day,pump_cell,fund_cell,era,n_events,n_weeks,mean_gross_bp,mean_funding_bp,mean_net45_bp,mean_net90_bp,se_net45_bp_wk,median_net45_bp,win_rate_net45
short,1,pump_le0,fund_neg,pooled,70,49,-1046.3340464933901,-401.6781671428571,-1493.012213636248,-1538.0122136362472,705.392080458994,144.59847889590648,0.5285714285714286
short,1,pump_le0,fund_neg,e2122,3,3,-54.330975862290465,-144.13626666666664,-243.46724252895714,-288.4672425289571,1347.9219414863567,-823.2565719557196,0.3333333333333333
short,1,pump_le0,fund_neg,e2324,22,17,-1092.0496893203947,-220.9429636363636,-1357.9926529567585,-1402.9926529567579,945.9160460457181,281.13993939828765,0.5454545454545454
short,1,pump_le0,fund_neg,e2526,45,29,-1090.1177147089281,-507.20706000000007,-1642.3247747089279,-1687.3247747089279,957.3090224969646,186.59485780765297,0.5333333333333333
short,1,pump_le0,fund_neg,pre2025,25,20,-967.5234437054224,-211.72615999999994,-1224.249603705422,-1269.2496037054225,879.8074871679943,102.60209998416002,0.52
short,1,pump_le0,fund_neg,post2025,45,29,-1090.1177147089281,-507.20706000000007,-1642.3247747089279,-1687.3247747089279,954.099652171775,186.59485780765297,0.5333333333333333
short,2,pump_le0,fund_neg,pooled,52,42,-843.6240457993899,-347.2444692307692,-1235.8685150301592,-1280.8685150301592,848.2114768407374,408.44116017589374,0.5769230769230769
short,2,pump_le0,fund_neg,e2122,2,2,2150.3726364798895,-187.9641,1917.4085364798893,1872.4085364798893,198.1676807256856,1917.4085364798893,1.0
short,2,pump_le0,fund_neg,e2324,15,12,-334.60746944965194,-209.15076,-588.7582294496519,-633.7582294496522,657.6018065839714,127.49091794871762,0.5333333333333333
short,2,pump_le0,fund_neg,e2526,35,28,-1232.859531793808,-415.52922285714277,-1693.3887546509507,-1738.3887546509511,1198.4723203465076,400.06510250303245,0.5714285714285714
short,2,pump_le0,fund_neg,pre2025,17,14,-42.25686875205899,-206.6582117647059,-293.9150805167648,-338.9150805167649,596.2727636797255,416.817217848755,0.5882352941176471
short,2,pump_le0,fund_neg,post2025,35,28,-1232.859531793808,-415.52922285714277,-1693.3887546509507,-1738.3887546509511,1180.852309406392,400.06510250303245,0.5714285714285714
long,1,pump_le0,fund_neg,pooled,70,49,1046.3340464933901,401.6781671428571,1403.0122136362475,1358.0122136362472,661.4462905661258,-234.5984788959065,0.4142857142857143
long,1,pump_le0,fund_neg,e2122,3,3,54.330975862290465,144.13626666666664,153.46724252895706,108.46724252895706,1343.6564528766737,733.2565719557196,0.6666666666666666
long,1,pump_le0,fund_neg,e2324,22,17,1092.0496893203947,220.9429636363636,1267.9926529567583,1222.9926529567583,965.7052765704285,-371.1399393982876,0.4090909090909091
long,1,pump_le0,fund_neg,e2526,45,29,1090.1177147089281,507.20706000000007,1552.324774708928,1507.3247747089283,964.297817868406,-276.594857807653,0.4
long,1,pump_le0,fund_neg,pre2025,25,20,967.5234437054224,211.72615999999994,1134.249603705422,1089.2496037054223,857.39578438716,-192.60209998416,0.44
long,1,pump_le0,fund_neg,post2025,45,29,1090.1177147089281,507.20706000000007,1552.324774708928,1507.3247747089283,957.2831451073747,-276.594857807653,0.4
long,2,pump_le0,fund_neg,pooled,52,42,843.6240457993899,347.2444692307692,1145.8685150301587,1100.8685150301587,829.73459033753,-498.4411601758937,0.34615384615384615
